scenario,replication,N,L,ordering_budget,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,partition,partition_time_seconds
N20_L4_balanced_poisson_hS2,0,20,4,24,24,150,0.84,81,4.05,"[[2, 3], [1, 4], [4, 1], [4, 1]]",0.0077636949717998505
N20_L4_balanced_poisson_hS2,0,20,4,30,30,150,0.8,45,2.25,"[[2, 3], [1, 4], [4, 1], [1, 3, 1]]",0.006271695718169212
N20_L4_balanced_poisson_hS2,0,20,4,37,37,150,0.7533333333333333,29,1.45,"[[2, 3], [1, 1, 3], [4, 1], [1, 3, 1]]",0.006253018043935299
N20_L4_balanced_poisson_hS2,0,20,4,44,44,150,0.7066666666666667,14,0.7,"[[2, 3], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",0.005986516363918781
N20_L4_balanced_poisson_hS2,0,20,4,53,53,150,0.6466666666666666,0,0.0,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",0.006117063574492931
