N,arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,0.7,PP,6,6,4,4,1,1.0,10.45,10.45,0.0,0.024708986282348633,0.02911802239389515,0.004353398457169533,338.0,8.0,24.0,0.84,1,0
20,0.7,PP,6,6,6,6,1,1.0,10.85,10.85,0.0,0.0034499168395996094,0.007010322200236321,0.0035102637484669685,1.0,4.0,6.0,0.96,1,0
20,0.7,PP,6,6,8,8,1,1.0,10.85,10.85,0.0,0.003370046615600586,0.00718615363922596,0.0037693148478865623,1.0,4.0,6.0,0.96,1,0
20,0.7,PP,8,8,2,2,1,1.0,8.35,8.35,0.0,0.10042285919189453,0.10492801734114361,0.0044503845274448395,1340.0,12.0,54.0,0.64,1,0
20,0.7,PP,8,8,4,4,1,1.0,10.45,10.45,0.0,0.02478504180908203,0.028804248153265,0.003967835567891598,338.0,8.0,24.0,0.84,1,0
20,0.7,PP,8,8,6,6,1,1.0,10.85,10.85,0.0,0.0032689571380615234,0.00683279418874073,0.003514309413731098,1.0,4.0,6.0,0.96,1,0
20,0.7,PP,8,8,8,8,1,1.0,10.85,10.85,0.0,0.003258943557739258,0.00741217970695734,0.004102529026567936,1.0,4.0,6.0,0.96,1,0
20,1.0,CHP,2,2,NA,NA,1,1.0,9.65,9.65,0.0,0.008077859878540039,0.013127290890552043,0.004992884583771229,1.0,6.0,13.0,0.9133333333333333,0,0
20,1.0,CHP,4,4,NA,NA,1,1.0,10.0,10.0,0.0,0.004034996032714844,0.007741402023405552,0.0036606620997190475,1.0,5.0,9.0,0.94,0,0
20,1.0,CHP,6,6,NA,NA,1,1.0,10.0,10.0,0.0,0.0033948421478271484,0.007041711100935936,0.0035964446142315865,1.0,4.0,6.0,0.96,0,0
20,1.0,CHP,8,8,NA,NA,1,1.0,10.0,10.0,0.0,0.002956867218017578,0.00702382832984066,0.004004631191492081,1.0,4.0,6.0,0.96,0,0
20,1.0,NP,NA,NA,1,1,1,1.0,9.6,9.6,0.0,5.0152058601379395,5.021410179662875,0.006149733439087868,82808.0,20.0,150.0,0.0,0,0
20,1.0,PP,2,2,2,2,1,1.0,9.6,9.6,0.0,0.1343398094177246,0.1388905256130147,0.004496363922953606,3080.0,12.0,54.0,0.64,1,0
20,1.0,PP,2,2,4,4,1,1.0,9.6,9.6,0.0,0.029710054397583008,0.034840328807910444,0.00507232453674078,330.0,8.0,24.0,0.84,1,0
