instance_id,seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,method,run_role,threshold,delta,max_platoon_size,Pmax,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,time_limit_s,threads,status,objective,objective_total_delay,best_bound,terminal_mip_gap,solve_time_s,model_construction_time_s,end_to_end_time_s,node_count,time_to_first_feasible_s,sol_count,np_30s_status,np_30s_objective,np_recovery_status,np_recovery_objective,np_optimal_objective,np_optimal_source,actual_optimality_gap,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds,matching_chp_objective,pp_optimal_objective,np_30s_terminal_mip_gap,np_30s_solve_time_s
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,4,4,4,4,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.0044765,20,8.0,160,39.75,795,30.0,12,OPTIMAL,8.85,177.0,177.0,0.0,0.019549131393432617,0.0043187253177165985,0.023922786680306434,216.0,0.00019097328186035156,5,OPTIMAL,8.25,,,8.25,initial_30s,0.5999999999999996,True,True,39.15,True,True,9.25,8.85,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,4,4,6,6,"[[5], [5], [5], [5]]",4,6,150,0.96,0.001612,20,9.2,184,42.4,848,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0032248497009277344,0.003601151518523693,0.0068761090485568045,1.0,0.0004839897155761719,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,41.4,True,True,9.25,9.25,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,4,4,8,8,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004061,20,9.2,184,45.05,901,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.002971172332763672,0.0034833932295441628,0.0065026995405063626,1.0,0.00040721893310546875,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,44.05,True,True,9.25,9.25,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,6,6,2,2,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.004562,20,4.8,96,45.5,910,30.0,12,OPTIMAL,8.8,176.0,176.0,0.0,0.11059188842773438,0.004224332980811596,0.1148673914467926,3184.0,0.0008218288421630859,10,OPTIMAL,8.25,,,8.25,initial_30s,0.5500000000000007,True,True,44.95,True,True,9.25,8.8,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,6,6,4,4,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.001652,20,8.0,160,68.25,1365,30.0,12,OPTIMAL,8.85,177.0,177.0,0.0,0.019899845123291016,0.0039622969925403595,0.02391359286521864,216.0,0.00019097328186035156,5,OPTIMAL,8.25,,,8.25,initial_30s,0.5999999999999996,True,True,67.65,True,True,9.25,8.85,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,6,6,6,6,"[[5], [5], [5], [5]]",4,6,150,0.96,0.001657,20,9.2,184,72.8,1456,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0026810169219970703,0.003547361120581627,0.006280014468545437,1.0,0.00048279762268066406,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,71.8,True,True,9.25,9.25,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,6,6,8,8,"[[5], [5], [5], [5]]",4,6,150,0.96,0.001623,20,9.2,184,77.35,1547,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.002668142318725586,0.004121117293834686,0.006840065757725716,1.0,0.00045108795166015625,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,76.35,True,True,9.25,9.25,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,8,8,2,2,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.0015575,20,4.8,96,64.5,1290,30.0,12,OPTIMAL,8.8,176.0,176.0,0.0,0.11163592338562012,0.004457474686205387,0.1161410951548171,3184.0,0.0008161067962646484,10,OPTIMAL,8.25,,,8.25,initial_30s,0.5500000000000007,True,True,63.95,True,True,9.25,8.8,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,8,8,4,4,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.004432,20,8.0,160,96.75,1935,30.0,12,OPTIMAL,8.85,177.0,177.0,0.0,0.020331859588623047,0.00414743646979332,0.024534577339667796,216.0,0.00019502639770507812,5,OPTIMAL,8.25,,,8.25,initial_30s,0.5999999999999996,True,True,96.15,True,True,9.25,8.85,0.0,5.0523741245269775
N20_rate0p4_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",0.4,1,3,PP,initial_30s,8,8,6,6,"[[5], [5], [5], [5]]",4,6,150,0.96,0.0016775,20,9.2,184,103.2,2064,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.003156900405883789,0.0036469008773565292,0.006854001620700359,1.0,0.0004799365997314453,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,102.2,True,True,9.25,9.25,0.0,5.0523741245269775
