instance_id,N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,replication,method,threshold,delta,max_platoon_size,Pmax,run_role,point_index,time_s,incumbent_total_delay,incumbent_average_delay,best_bound_total_delay,best_bound_average_delay,mip_gap
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,NP,,,1,1,uniform_600s,8,0.19474387168884277,48.0,2.4,47.99999999999585,2.3999999999997925,8.644936618414552e-14
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,0,0.0001480579376220703,210.0,10.5,-1e+100,-5e+98,4.761904761904762e+97
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,1,0.0011839866638183594,70.0,3.5,2.0,0.1,0.9714285714285714
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,2,0.0013039112091064453,65.99999999998624,3.2999999999993124,2.0,0.1,0.9696969696969634
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,3,0.0014929771423339844,63.999999999988745,3.199999999999437,2.0,0.1,0.9687499999999944
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,4,0.001990079879760742,62.0,3.1,13.99999999999983,0.6999999999999915,0.7741935483870995
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,5,0.0020089149475097656,58.99999999999568,2.949999999999784,13.99999999999983,0.6999999999999915,0.7627118644067652
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,6,0.0024340152740478516,56.99999999999619,2.8499999999998096,29.044468100813546,1.4522234050406773,0.4904479280558687
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,7,0.003665924072265625,54.99999999999886,2.749999999999943,38.99999999999915,1.9499999999999573,0.2909090909090917
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,8,0.0036859512329101562,50.99999999999932,2.549999999999966,38.99999999999915,1.9499999999999573,0.23529411764706532
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,CHP,4,4,,,uniform_600s,9,0.011368036270141602,51.0,2.55,50.99999999999932,2.549999999999966,1.3374922084896003e-14
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,0,0.0001819133758544922,235.0,11.75,-1e+100,-5e+98,4.25531914893617e+97
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,1,0.0013420581817626953,68.0,3.4,2.0,0.1,0.9705882352941176
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,2,0.002624034881591797,67.0,3.35,2.0,0.1,0.9701492537313433
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,3,0.0032351016998291016,61.99999999999568,3.099999999999784,26.891669029256786,1.3445834514628392,0.5662634027538925
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,4,0.0045108795166015625,60.99999999999983,3.0499999999999914,32.06369809506464,1.6031849047532318,0.4743656049989389
N20_lambda0p5_rep001_seed17455957085392093784,20,0.5,0.5,0.5,0.125,1,PP,4,4,4,4,uniform_600s,5,0.005085945129394531,54.999999999998636,2.7499999999999316,33.96435129581147,1.6982175647905735,0.3824663400761398
