N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,2.5,2.5,2.5,0.625,PP,2,2,8,8,10,1.0,9.065000000000001,8.725,0.0,0.020768213272094726,0.024827111674365188,0.004006915632635355,293.3,6.9,18.5,0.8766666666666666,10,0
20,2.5,2.5,2.5,0.625,PP,4,4,2,2,10,1.0,9.015,8.725,0.0,0.10009372234344482,0.10476999232208475,0.004624210391193628,2077.2,12.0,54.0,0.64,10,0
20,2.5,2.5,2.5,0.625,PP,4,4,4,4,10,1.0,9.235,9.15,0.0,0.02302727699279785,0.027149388549089288,0.004070413485169411,165.8,8.0,24.0,0.8400000000000001,10,0
20,2.5,2.5,2.5,0.625,PP,4,4,6,6,10,1.0,9.235,9.15,0.0,0.0043514490127563475,0.008274072634068633,0.0038704055361449717,11.3,4.8,8.7,0.942,10,0
20,2.5,2.5,2.5,0.625,PP,4,4,8,8,10,1.0,9.235,9.15,0.0,0.004330992698669434,0.008196861641470718,0.003814570978283882,11.3,4.8,8.7,0.942,10,0
20,2.5,2.5,2.5,0.625,PP,6,6,2,2,10,1.0,9.015,8.725,0.0,0.0945131778717041,0.09915171839864641,0.004587237536907196,1762.9,12.0,54.0,0.64,10,0
20,2.5,2.5,2.5,0.625,PP,6,6,4,4,10,1.0,9.305,9.15,0.0,0.02194850444793701,0.026140601924895,0.004140322376042604,168.0,8.0,24.0,0.8400000000000001,10,0
20,2.5,2.5,2.5,0.625,PP,6,6,6,6,10,1.0,9.690000000000001,9.825,0.0,0.003059720993041992,0.0069518313056004515,0.003839181177318096,1.0,4.1,6.3,0.958,10,0
20,2.5,2.5,2.5,0.625,PP,6,6,8,8,10,1.0,9.690000000000001,9.825,0.0,0.0028629064559936523,0.006694251051925516,0.003780665807425976,1.0,4.1,6.3,0.958,10,0
20,2.5,2.5,2.5,0.625,PP,8,8,2,2,10,1.0,9.015,8.725,0.0,0.09426758289337159,0.0987831463463151,0.004466308653354645,1762.9,12.0,54.0,0.64,10,0
