seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,model_build_time_s,solve_time_s,end_to_end_time_s,status,objective,actual_optimality_gap,actual_gap_reference,terminal_mip_gap,node_count,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,np_optimal_objective,matching_chp_objective,pp_optimal_objective,D_NP,D_CHP,D_PP,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,,1,NP,"[[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]",16,96,96,0.0,0.001162,20,0.014169257134199142,1.8099658489227295,1.8242126337140794,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,31491.0,0.0,0,0.0,0,6.8125,,,6.8125,,,False,,,False,
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,2,,CHP,"[[4], [4], [4], [3, 1]]",5,9,96,0.90625,0.002464,20,0.005707566626369953,0.007832050323486328,0.013626035954667569,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,1.0,2.375,38,12.1875,195,6.8125,,,6.8125,6.8125,,False,,,False,
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,2,2,PP,"[[2, 2], [2, 2], [2, 2], [2, 1, 1]]",9,30,96,0.6875,0.002809,20,0.006536208093166351,0.05808591842651367,0.06471964636890555,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,1253.0,1.625,26,6.5,104,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,6.5,True,True
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,2,3,PP,"[[3, 1], [3, 1], [3, 1], [3, 1]]",8,24,96,0.75,0.002073,20,0.005281292833387852,0.028403043746948242,0.033758484634385584,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,244.0,2.375,38,8.125,130,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,8.125,True,True
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,2,4,PP,"[[4], [4], [4], [3, 1]]",5,9,96,0.90625,0.002033,20,0.004879755899310112,0.006224870681762695,0.011169643064148903,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,1.0,2.375,38,9.75,156,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,9.75,True,True
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,2,5,PP,"[[4], [4], [4], [3, 1]]",5,9,96,0.90625,0.003841,20,0.004107688553631306,0.005410909652709961,0.009572273345986365,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,1.0,2.375,38,9.75,156,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,9.75,True,True
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,3,,CHP,"[[4], [4], [4], [4]]",4,6,96,0.9375,0.001452,20,0.0038808761164546013,0.0025069713592529297,0.006437781334974289,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,1.0,3.875,62,26.25,420,6.8125,,,6.8125,6.8125,,False,,,False,
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,3,2,PP,"[[2, 2], [2, 2], [2, 2], [2, 2]]",8,24,96,0.75,0.001557,20,0.00408758781850338,0.047830820083618164,0.05197149777414274,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,849.0,3.125,50,14.0,224,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,14.0,True,True
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,3,3,PP,"[[3, 1], [3, 1], [3, 1], [3, 1]]",8,24,96,0.75,0.001557,20,0.004165866412222385,0.024306058883666992,0.028523647055048465,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,244.0,2.375,38,17.5,280,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,17.5,True,True
9988363950158873202,0,16,4,"[4, 4, 4, 4]","[[1, 2, 3, 4], [1, 3, 5, 5], [2, 3, 3, 4], [1, 3, 4, 7]]",1.0,1,2,3,4,PP,"[[4], [4], [4], [4]]",4,6,96,0.9375,0.002098,20,0.004318968392908573,0.0022459030151367188,0.006627733549426079,OPTIMAL,6.8125,0.0,np_gurobi_optimal,0.0,1.0,3.875,62,21.0,336,6.8125,6.8125,6.8125,6.8125,6.8125,6.8125,True,True,21.0,True,True
