N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
20,1.0,CHP,2,NA,20,20,1.0,8.1675,8.274999999999999,0.04062499999999991,0.0,16,0.8,0,0,,16.15,16.15,,,0,0,,5.25,10.1,0.9326666666666666,0.002411675,0.00167,0.008343064785003662,0.013381692642637897,0.0,18.25
20,1.0,CHP,3,NA,20,20,1.0,8.2375,8.3,0.11562499999999992,0.0,16,0.8,0,0,,34.2,34.2,,,0,0,,4.55,7.75,0.9483333333333333,0.0025874500000000003,0.0016397500000000001,0.004229772090911865,0.008754985270353507,0.0,1.0
20,1.0,CHP,4,NA,20,20,1.0,8.2975,8.475,0.19062499999999988,0.0,16,0.8,0,0,,52.25,52.25,,,0,0,,4.2,6.65,0.9556666666666667,0.002201325,0.00169775,0.0030418872833251954,0.007623865273521017,0.0,1.0
20,1.0,NP,NA,1,20,20,0.8,8.135,8.25,0.0,0.0,16,0.8,0,0,,0.0,0.0,,,0,0,,20.0,150.0,0.0,0.0020174750000000003,0.0013345,21.657835674285888,21.66625542272561,0.024519657033897753,268223.95
20,1.0,PP,2,2,20,20,1.0,8.155,8.274999999999999,0.02499999999999991,0.0,16,0.8,16,0,0.0,8.5,8.5,8.475,8.5,16,0,0.0,12.0,54.0,0.64,0.0025767999999999998,0.0018402499999999999,0.18573687076568604,0.19152341267832748,0.0,5833.05
20,1.0,PP,2,3,20,20,1.0,8.145,8.274999999999999,0.012499999999999956,0.0,16,0.8,16,0,0.0,11.05,11.05,11.037500000000001,11.05,16,0,0.0,8.5,27.05,0.8196666666666668,0.002662075,0.00183275,0.04317206144332886,0.04848925241387088,0.0,729.8
20,1.0,PP,2,4,20,20,1.0,8.1675,8.274999999999999,0.04062499999999991,0.0,16,0.8,16,0,0.0,12.75,12.75,12.709375,12.75,16,0,0.0,8.1,24.6,0.836,0.00246885,0.00182275,0.028997230529785156,0.03413137607975135,0.0,306.4
20,1.0,PP,2,5,20,20,1.0,8.1675,8.274999999999999,0.04062499999999991,0.0,16,0.8,16,0,0.0,13.6,13.6,13.559375,13.6,16,0,0.0,5.25,10.1,0.9326666666666666,0.00250925,0.00178525,0.007194983959197998,0.012014373565718413,0.0,18.25
20,1.0,PP,3,2,20,20,1.0,8.165000000000001,8.274999999999999,0.02499999999999991,0.0,16,0.8,16,0,0.0,18.0,18.0,17.975,18.0,16,0,0.0,12.0,54.0,0.64,0.0028598499999999997,0.00185725,0.16539375782012938,0.17083262050576076,0.0,5016.65
20,1.0,PP,3,3,20,20,1.0,8.215,8.3,0.08749999999999997,0.0,16,0.8,16,0,0.0,23.4,23.4,23.3125,23.4,16,0,0.0,8.05,24.3,0.8379999999999999,0.0028352000000000004,0.002133,0.038967025279998777,0.044311537382024715,0.0,556.1
20,1.0,PP,3,4,20,20,1.0,8.2375,8.3,0.11562499999999992,0.0,16,0.8,16,0,0.0,27.0,27.0,26.884375,27.0,16,0,0.0,8.0,24.0,0.8400000000000001,0.002669825,0.0018725,0.02624225616455078,0.03138647936542077,0.0,259.55
20,1.0,PP,3,5,20,20,1.0,8.2375,8.3,0.11562499999999992,0.0,16,0.8,16,0,0.0,28.8,28.8,28.684375,28.8,16,0,0.0,4.55,7.75,0.9483333333333333,0.001985275,0.00173775,0.0042859077453613285,0.009009177910908722,0.0,1.0
20,1.0,PP,4,2,20,20,1.0,8.184999999999999,8.399999999999999,0.04999999999999993,0.0,16,0.8,16,0,0.0,27.5,27.5,27.45,27.5,16,0,0.0,12.0,54.0,0.64,0.0030797999999999997,0.00257925,0.15855715274810792,0.16404584628536326,0.0,4867.75
20,1.0,PP,4,3,20,20,1.0,8.215,8.3,0.08749999999999997,0.0,16,0.8,16,0,0.0,35.75,35.75,35.6625,35.75,16,0,0.0,8.0,24.0,0.8400000000000001,0.00256785,0.0018552500000000001,0.03561568260192871,0.04088566443691287,0.0,498.35
20,1.0,PP,4,4,20,20,1.0,8.2975,8.475,0.19062499999999988,0.0,16,0.8,16,0,0.0,41.25,41.25,41.059375,41.25,16,0,0.0,8.0,24.0,0.8400000000000001,0.002201325,0.00177225,0.025161945819854738,0.030227213636711908,0.0,255.1
20,1.0,PP,4,5,20,20,1.0,8.2975,8.475,0.19062499999999988,0.0,16,0.8,16,0,0.0,44.0,44.0,43.809375,44.0,16,0,0.0,4.2,6.65,0.9556666666666667,0.002118125,0.00175225,0.003092026710510254,0.007798917889037133,0.0,1.0
