seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,model_build_time_s,solve_time_s,end_to_end_time_s,status,objective,actual_optimality_gap,actual_gap_reference,terminal_mip_gap,node_count,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,np_optimal_objective,matching_chp_objective,pp_optimal_objective,D_NP,D_CHP,D_PP,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,,1,NP,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]",12,54,54,0.0,0.0011165,20,0.014269539155066013,0.09358596801757812,0.10793557747522974,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1431.0,0.0,0,0.0,0,3.9166666666666665,,,3.9166666666666665,,,False,,,False,
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,2,,CHP,"[[3], [3], [1, 2], [2, 1]]",6,13,54,0.7592592592592593,0.001442,20,0.004434451460838318,0.0038759708404541016,0.008366134330360413,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,0.0,0,8.25,99,3.9166666666666665,,,3.9166666666666665,3.9166666666666665,,False,,,False,
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,2,2,PP,"[[2, 1], [2, 1], [1, 2], [2, 1]]",8,24,54,0.5555555555555556,0.0015675,20,0.004294790327548981,0.022068023681640625,0.026417014273171426,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,144.0,0.0,0,4.5,54,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,4.5,True,True
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,2,3,PP,"[[3], [3], [1, 2], [2, 1]]",6,13,54,0.7592592592592593,0.001437,20,0.0042992280796170235,0.0035860538482666016,0.007940175912343979,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,0.0,0,6.0,72,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,6.0,True,True
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,2,4,PP,"[[3], [3], [1, 2], [2, 1]]",6,13,54,0.7592592592592593,0.001492,20,0.004203754477202892,0.003910064697265625,0.008172472028808117,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,0.0,0,6.75,81,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,6.75,True,True
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,2,5,PP,"[[3], [3], [1, 2], [2, 1]]",6,13,54,0.7592592592592593,0.001467,20,0.00400787778198719,0.0034019947052001953,0.0074614725813789366,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,0.0,0,6.75,81,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,6.75,True,True
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,3,,CHP,"[[3], [3], [1, 2], [3]]",5,9,54,0.8333333333333334,0.0013375,20,0.0037543652579188347,0.002910137176513672,0.006713863582992554,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,1.5,18,18.333333333333332,220,3.9166666666666665,,,3.9166666666666665,3.9166666666666665,,False,,,False,
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,3,2,PP,"[[2, 1], [2, 1], [1, 2], [2, 1]]",8,24,54,0.5555555555555556,0.001402,20,0.004528344608843327,0.0215299129486084,0.02610996494631958,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,144.0,0.0,0,10.0,120,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,10.0,True,True
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,3,3,PP,"[[3], [3], [1, 2], [3]]",5,9,54,0.8333333333333334,0.001387,20,0.0035985996946692467,0.002900838851928711,0.006549905314957619,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,1.5,18,13.333333333333334,160,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,13.333333333333334,True,True
16777210500540875060,0,12,4,"[3, 3, 3, 3]","[[3, 4, 5], [6, 7, 8], [1, 5, 6], [3, 3, 6]]",0.7,1,2,3,4,PP,"[[3], [3], [1, 2], [3]]",5,9,54,0.8333333333333334,0.001417,20,0.0036107972264289856,0.0024030208587646484,0.006063990753297329,OPTIMAL,3.9166666666666665,0.0,np_gurobi_optimal,0.0,1.0,1.5,18,15.0,180,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,3.9166666666666665,True,True,15.0,True,True
