scenario,method,cases,mean_runtime_seconds,ci95_runtime_seconds,mean_node_count,ci95_node_count,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_dimension_reduction_fraction,ci95_dimension_reduction_fraction,all_actual_gaps_within_bound
balanced_bursty_L3,bound_aware_loss_budget,5,0.0011590480804443359,0.0005549809250531022,0.8,0.39199999999999996,0.0,0.0,0.5733333333333334,0.28508100992914664,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,fixed_size_2,5,0.0027143478393554686,0.0017191962987894672,0.8,0.39199999999999996,0.4133333333333334,0.5849431653303307,6.213333333333333,5.759184287919793,27.0,0.0,0.64,0.0,True
balanced_bursty_L3,fixed_size_3,5,0.0015915870666503907,0.0009494336849775169,0.8,0.39199999999999996,1.4266666666666667,1.459494609635663,10.066666666666666,6.872743718648486,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,fixed_size_4,5,0.001483011245727539,0.0007396017183635778,0.8,0.39199999999999996,1.5333333333333332,1.9416204915825679,10.266666666666666,8.685255183355293,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,release_gap_hF,5,0.0016089916229248048,0.0007222827863574393,0.8,0.39199999999999996,0.0,0.0,0.0,0.0,15.2,1.5679999999999998,0.7973333333333332,0.02090666666666667,True
balanced_bursty_L3,release_gap_hS,5,0.001448345184326172,0.0008557959375336512,0.8,0.39199999999999996,0.039999999999999994,0.05226666666666665,1.04,0.3709644846732486,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,vehicle_level,5,0.019218635559082032,0.014343190889584826,26.0,49.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
balanced_poisson_L3,bound_aware_loss_budget,5,0.0033910274505615234,0.0007079530344189006,1.0,0.0,0.0,0.0,0.96,0.9391652463757375,13.6,3.1359999999999997,0.8186666666666665,0.04181333333333334,True
balanced_poisson_L3,fixed_size_2,5,0.02309556007385254,0.003212270276893727,203.8,82.23922703916908,0.14666666644265422,0.076191104608714,2.6133333333333333,1.1013270056315398,27.0,0.0,0.64,0.0,True
balanced_poisson_L3,fixed_size_3,5,0.004156637191772461,0.0015399817815589035,1.0,0.0,0.10666666666666683,0.08862244511283693,3.3600000000000003,3.0069236372079686,12.0,0.0,0.8400000000000001,0.0,True
balanced_poisson_L3,fixed_size_4,5,0.003517818450927734,0.0009956204361422896,1.0,0.0,0.42666666666666675,0.5793707544492652,3.6,2.428783691937638,12.0,0.0,0.8400000000000001,0.0,True
balanced_poisson_L3,release_gap_hF,5,0.0068951606750488285,0.003326262081811241,15.6,28.615999999999996,0.0,0.0,0.0,0.0,19.2,5.626258437007671,0.744,0.07501677916010227,True
balanced_poisson_L3,release_gap_hS,5,0.004142570495605469,0.0012759156652178117,1.0,0.0,0.08000000000000007,0.09601999791710066,1.7333333333333332,0.4069590205959864,12.8,1.5679999999999998,0.8293333333333333,0.02090666666666667,True
balanced_poisson_L3,vehicle_level,5,0.163950777053833,0.03842016028279141,3343.6,1911.9080784012601,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
balanced_uniform_L3,bound_aware_loss_budget,5,0.0025542259216308595,0.0012320405830730694,1.0,0.0,0.2133333333333333,0.26586733533851054,4.4399999999999995,2.5603999132080046,14.6,3.4841722115877105,0.8053333333333332,0.046455629487836145,True
balanced_uniform_L3,fixed_size_2,5,0.0107635498046875,0.009248609223480288,50.0,96.04,0.4666666666666667,0.46197643037521113,5.706666666666666,2.8739538510174056,27.0,0.0,0.64,0.0,True
balanced_uniform_L3,fixed_size_3,5,0.0035006523132324217,0.001227078939436422,1.0,0.0,2.586666666666667,1.6452588637928343,14.280000000000001,3.8570799225435928,12.0,0.0,0.8400000000000001,0.0,True
balanced_uniform_L3,fixed_size_4,5,0.0038421630859375,0.0008850703464955843,1.0,0.0,4.026666666666666,2.012690864379216,13.906666666666666,6.076576030042649,12.0,0.0,0.8400000000000001,0.0,True
balanced_uniform_L3,release_gap_hF,5,0.02754964828491211,0.016170410035607208,202.8,214.10557709690792,0.0,0.0,0.0,0.0,39.0,11.71089748909109,0.48,0.15614529985454784,True
balanced_uniform_L3,release_gap_hS,5,0.006717872619628906,0.007064699831313466,33.8,64.288,0.2133333333333333,0.26586733533851054,2.146666666666667,1.0650736103929885,20.6,6.918550137131333,0.7253333333333333,0.09224733516175108,True
