N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
8,0.4,CHP,2,NA,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,5.666666666666667,11.666666666666666,0.0019491666666666668,0.0011665,0.0042209625244140625,0.007877403468302091,0.0,13.333333333333334
8,0.4,CHP,3,NA,3,3,1.0,1.625,1.125,0.041666666666666664,0.0,3,1.0,5.333333333333333,10.333333333333334,0.0032248333333333335,0.00317,0.004218657811482747,0.0080725218216815,0.0,13.333333333333334
8,0.4,NP,NA,1,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,8.0,24.0,0.0009515000000000001,0.0009465,0.01236104965209961,0.10695189765221023,0.0,54.333333333333336
8,0.4,PP,2,2,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,5.666666666666667,11.666666666666666,0.002799,0.0034,0.004332224527994792,0.008201927943185012,0.0,13.333333333333334
8,0.4,PP,2,3,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,5.666666666666667,11.666666666666666,0.002498666666666667,0.002884,0.004324992497762044,0.007987213559669972,0.0,13.333333333333334
8,0.4,PP,3,2,3,3,1.0,1.625,1.125,0.041666666666666664,0.0,3,1.0,5.333333333333333,10.333333333333334,0.0026858333333333335,0.00335,0.0043383439381917315,0.00853705582356294,0.0,13.333333333333334
8,0.4,PP,3,3,3,3,1.0,1.625,1.125,0.041666666666666664,0.0,3,1.0,5.333333333333333,10.333333333333334,0.0033751666666666665,0.003515,0.004447619120279948,0.008779853636038462,0.0,13.333333333333334
8,0.7,CHP,2,NA,3,3,1.0,3.2916666666666665,3.0,0.0,0.0,3,1.0,5.333333333333333,11.0,0.0026323333333333333,0.0031645,0.00959165891011556,0.0136018064305137,0.0,47.666666666666664
8,0.7,CHP,3,NA,3,3,1.0,3.625,3.75,0.3333333333333333,0.0,3,1.0,4.666666666666667,8.0,0.003600666666666667,0.003686,0.008998235066731771,0.013701731202249367,0.0,36.666666666666664
8,0.7,NP,NA,1,3,3,1.0,3.2916666666666665,3.0,0.0,0.0,3,1.0,8.0,24.0,0.0009428333333333334,0.0009365,0.0430609385172526,0.04648714825472148,0.0,320.6666666666667
8,0.7,PP,2,2,3,3,1.0,3.2916666666666665,3.0,0.0,0.0,3,1.0,5.333333333333333,11.0,0.0034701666666666665,0.003435,0.009664376576741537,0.013928453186296782,0.0,47.666666666666664
8,0.7,PP,2,3,3,3,1.0,3.2916666666666665,3.0,0.0,0.0,3,1.0,5.333333333333333,11.0,0.0029029999999999998,0.003701,0.009723663330078125,0.013813963537894568,0.0,47.666666666666664
8,0.7,PP,3,2,3,3,1.0,3.625,3.75,0.3333333333333333,0.0,3,1.0,4.666666666666667,8.0,0.0019881666666666667,0.001132,0.008939584096272787,0.012875469504889487,0.0,36.666666666666664
8,0.7,PP,3,3,3,3,1.0,3.625,3.75,0.3333333333333333,0.0,3,1.0,4.666666666666667,8.0,0.002677333333333333,0.00339,0.009227355321248373,0.013469671921907107,0.0,36.666666666666664
8,1.0,CHP,2,NA,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,4.0,6.0,0.003547166666666667,0.0034255,0.003439664840698242,0.007547626341264726,0.0,13.0
8,1.0,CHP,3,NA,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,4.0,6.0,0.0027271666666666664,0.003385,0.0034487247467041016,0.007724666290833632,0.0,13.0
8,1.0,NP,NA,1,3,3,1.0,3.625,3.625,0.0,0.0,3,1.0,8.0,24.0,0.0009835,0.000977,0.038035313288370766,0.042365342712418395,0.0,261.6666666666667
8,1.0,PP,2,2,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,4.0,6.0,0.0027795000000000003,0.003541,0.003400405248006185,0.007400291473977089,0.0,13.0
8,1.0,PP,2,3,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,4.0,6.0,0.0037291666666666667,0.0035755,0.0036176840464274087,0.00815742726333936,0.0,13.0
8,1.0,PP,3,2,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,4.0,6.0,0.002843,0.003561,0.003414630889892578,0.007391104146843433,0.0,13.0
8,1.0,PP,3,3,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,4.0,6.0,0.002741,0.003225,0.0033947626749674478,0.006969818963054181,0.0,13.0
12,0.4,CHP,2,NA,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,7.666666666666667,21.333333333333332,0.001989666666666667,0.001247,0.0141143798828125,0.01806742082193104,0.0,68.33333333333333
12,0.4,CHP,3,NA,3,3,1.0,2.5833333333333335,2.0,0.027777777777777752,0.0,3,1.0,7.0,18.0,0.0037423333333333336,0.003655,0.011330763498942057,0.01578303951132361,0.0,54.666666666666664
12,0.4,NP,NA,1,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,12.0,54.0,0.0023085,0.0029495,0.2880099614461263,0.2931394695611677,0.0,1680.0
12,0.4,PP,2,2,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,8.666666666666666,28.0,0.004238,0.0043565,0.0222930113474528,0.026767582494005043,0.0,109.66666666666667
12,0.4,PP,2,3,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,7.666666666666667,21.333333333333332,0.003221333333333333,0.003991,0.014293034871419271,0.018552072545199076,0.0,68.33333333333333
12,0.4,PP,3,2,3,3,1.0,2.5833333333333335,2.0,0.027777777777777752,0.0,3,1.0,8.0,24.0,0.0029261666666666668,0.0036455,0.019297440846761067,0.02342249261916987,0.0,88.66666666666667
12,0.4,PP,3,3,3,3,1.0,2.5833333333333335,2.0,0.027777777777777752,0.0,3,1.0,7.0,18.0,0.003804333333333333,0.003866,0.011367003122965494,0.015979322485451062,0.0,54.666666666666664
12,0.7,CHP,2,NA,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,6.0,13.0,0.002887666666666667,0.003555,0.012897729873657227,0.01700135439181741,0.0,41.333333333333336
12,0.7,CHP,3,NA,3,3,1.0,4.138888888888888,4.166666666666667,0.44444444444444436,0.0,3,1.0,5.333333333333333,10.333333333333334,0.0040915000000000005,0.004137,0.012338638305664062,0.01688293325529083,0.0,37.0
12,0.7,NP,NA,1,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,12.0,54.0,0.0024205000000000003,0.0028995,0.19866172472635904,0.2033594694535729,0.0,1643.0
12,0.7,PP,2,2,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,8.0,24.0,0.0038673333333333337,0.004086,0.02703205744425456,0.03168799217561944,0.0,149.33333333333334
12,0.7,PP,2,3,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,6.0,13.0,0.004032666666666667,0.004076,0.013100703557332357,0.01773799369999107,0.0,41.333333333333336
12,0.7,PP,3,2,3,3,1.0,4.138888888888888,4.166666666666667,0.44444444444444436,0.0,3,1.0,8.0,24.0,0.004096166666666667,0.004196,0.03385162353515625,0.038405245379980725,0.0,242.33333333333334
12,0.7,PP,3,3,3,3,1.0,4.138888888888888,4.166666666666667,0.44444444444444436,0.0,3,1.0,5.333333333333333,10.333333333333334,0.004027833333333334,0.0042065,0.012262344360351562,0.016776112081895986,0.0,37.0
12,1.0,CHP,2,NA,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,4.666666666666667,8.0,0.004046333333333333,0.004197,0.008034070332845053,0.01246391893426625,0.0,22.666666666666668
12,1.0,CHP,3,NA,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,4.0,6.0,0.0037793333333333338,0.003651,0.004272301991780599,0.008828724760810694,0.0,13.333333333333334
12,1.0,NP,NA,1,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,12.0,54.0,0.0032715,0.0032945,0.34401965141296387,0.3492696503298766,0.0,3607.0
12,1.0,PP,2,2,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,8.0,24.0,0.002826,0.0035055,0.04023901621500651,0.04461954446608321,0.0,261.0
12,1.0,PP,2,3,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,4.666666666666667,8.0,0.0042595,0.0044215,0.007891654968261719,0.012524239970339456,0.0,22.666666666666668
12,1.0,PP,3,2,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,8.0,24.0,0.0029511666666666666,0.0037305,0.03225167592366537,0.03636553025905005,0.0,175.33333333333334
12,1.0,PP,3,3,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,4.0,6.0,0.003899333333333333,0.003826,0.004105329513549805,0.008338980883315564,0.0,13.333333333333334
16,0.4,CHP,2,NA,3,3,1.0,4.479166666666667,4.4375,0.0,0.0,1,0.3333333333333333,9.0,29.333333333333332,0.003734166666666667,0.003621,0.056983232498168945,0.061577065100515686,0.0,569.0
16,0.4,CHP,3,NA,3,3,1.0,4.6875,4.4375,0.0,0.0,1,0.3333333333333333,8.0,24.0,0.003942666666666666,0.003971,0.04871137936909994,0.05317306090714232,0.0,467.3333333333333
16,0.4,NP,NA,1,3,3,0.3333333333333333,4.395833333333333,4.4375,0.0,0.0,1,0.3333333333333333,16.0,96.0,0.0031198333333333334,0.003055,3.92311429977417,3.92883239335275,0.2534447187141697,12027.333333333334
16,0.4,PP,2,2,3,3,1.0,4.479166666666667,4.4375,0.0,0.0,1,0.3333333333333333,11.0,45.0,0.004111333333333333,0.0042165,0.21358331044514975,0.21804686590149291,0.0,2398.3333333333335
16,0.4,PP,2,3,3,3,1.0,4.395833333333333,4.4375,0.0,0.0,1,0.3333333333333333,9.666666666666666,34.333333333333336,0.0033831666666666667,0.0043315,0.08300304412841797,0.08742072679805342,0.0,748.3333333333334
16,0.4,PP,3,2,3,3,1.0,4.479166666666667,4.4375,0.0,0.0,1,0.3333333333333333,10.333333333333334,40.333333333333336,0.002532333333333333,0.0015375,0.1820812225341797,0.1863856719858438,0.0,1940.6666666666667
16,0.4,PP,3,3,3,3,1.0,4.6875,4.4375,0.0,0.0,1,0.3333333333333333,9.0,30.333333333333332,0.004236666666666666,0.004242,0.06403803825378418,0.06866075851600091,0.0,591.6666666666666
16,0.7,CHP,2,NA,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,5.666666666666667,12.0,0.003834,0.003826,0.009407599767049154,0.013940761852531272,0.0,38.333333333333336
16,0.7,CHP,3,NA,3,3,1.0,5.9375,7.3125,0.0,0.0,1,0.3333333333333333,5.0,9.666666666666666,0.004126,0.004086,0.00728909174601237,0.011369372338148913,0.0,26.666666666666668
16,0.7,NP,NA,1,3,3,0.3333333333333333,5.395833333333333,5.9375,0.0,0.0,1,0.3333333333333333,16.0,96.0,0.002366833333333333,0.0025935,3.3903189500172934,3.3962083626860817,0.14309701366964034,12856.333333333334
16,0.7,PP,2,2,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,9.333333333333334,32.666666666666664,0.0034485,0.0042665,0.0719147523244222,0.07624427148328479,0.0,696.6666666666666
16,0.7,PP,2,3,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,8.333333333333334,26.0,0.0035736666666666664,0.004186,0.030630747477213543,0.03505580704227559,0.0,237.66666666666666
16,0.7,PP,3,2,3,3,1.0,5.5625,6.1875,0.0,0.0,1,0.3333333333333333,8.666666666666666,28.333333333333332,0.0014338333333333332,0.001372,0.0512080987294515,0.054763532461119174,0.0,399.6666666666667
16,0.7,PP,3,3,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,8.333333333333334,26.0,0.004218,0.004106,0.030987342198689777,0.03520382727466551,0.0,237.66666666666666
