N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
8,1.0,PP,2,3,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,3,0,0.0,3.125,3.125,3.0,3.125,3,0,0.0,4.0,6.0,0.75,0.002676,0.00332,0.0032907327016194663,0.0071197906507064505,0.0,13.0
8,1.0,PP,3,2,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,3,0,0.0,6.0,6.0,5.875,6.0,3,0,0.0,4.0,6.0,0.75,0.0025805,0.00328,0.0032149950663248696,0.006738845684978644,0.0,13.0
8,1.0,PP,3,3,3,3,1.0,3.75,4.0,0.125,0.0,3,1.0,3,0,0.0,7.5,7.5,7.375,7.5,3,0,0.0,4.0,6.0,0.75,0.0018828333333333334,0.001132,0.003302971522013346,0.007213021638086955,0.0,13.0
12,0.4,CHP,2,NA,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,0,0,,8.25,8.25,,,0,0,,7.666666666666667,21.333333333333332,0.6049382716049383,0.0027608333333333335,0.003455,0.01393286387125651,0.01810560911479632,0.0,68.33333333333333
12,0.4,CHP,3,NA,3,3,1.0,2.5833333333333335,2.0,0.027777777777777752,0.0,3,1.0,0,0,,18.333333333333332,18.333333333333332,,,0,0,,7.0,18.0,0.6666666666666666,0.003708666666666667,0.00371,0.011480967203776041,0.016225423493588288,0.0,54.666666666666664
12,0.4,NP,NA,1,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,0,0,,0.0,0.0,,,0,0,,12.0,54.0,0.0,0.0023401666666666666,0.0029595,0.28853003184000653,0.2936332350610679,0.0,1680.0
12,0.4,PP,2,2,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,3,0,0.0,4.5,4.5,4.5,4.5,3,0,0.0,8.666666666666666,28.0,0.48148148148148145,0.004108,0.004031,0.022240400314331055,0.027059944593111354,0.0,109.66666666666667
12,0.4,PP,2,3,3,3,1.0,2.5555555555555554,2.0,0.0,0.0,3,1.0,3,0,0.0,6.0,6.0,6.0,6.0,3,0,0.0,7.666666666666667,21.333333333333332,0.6049382716049383,0.0022066666666666667,0.001342,0.014117876688639322,0.01837237463980754,0.0,68.33333333333333
12,0.4,PP,3,2,3,3,1.0,2.5833333333333335,2.0,0.027777777777777752,0.0,3,1.0,3,0,0.0,10.0,10.0,9.972222222222221,10.0,3,0,0.0,8.0,24.0,0.5555555555555556,0.0031848333333333334,0.003981,0.01955858866373698,0.02395496985138003,0.0,88.66666666666667
12,0.4,PP,3,3,3,3,1.0,2.5833333333333335,2.0,0.027777777777777752,0.0,3,1.0,3,0,0.0,13.333333333333334,13.333333333333334,13.305555555555557,13.333333333333334,3,0,0.0,7.0,18.0,0.6666666666666666,0.003889333333333333,0.003796,0.011424938837687174,0.016100638055429616,0.0,54.666666666666664
12,0.7,CHP,2,NA,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,0,0,,8.25,8.25,,,0,0,,6.0,13.0,0.7592592592592592,0.0026005,0.002949,0.012806971867879232,0.016876995500437895,0.0,41.333333333333336
12,0.7,CHP,3,NA,3,3,1.0,4.138888888888888,4.166666666666667,0.44444444444444436,0.0,3,1.0,0,0,,18.333333333333332,18.333333333333332,,,0,0,,5.333333333333333,10.333333333333334,0.808641975308642,0.0038323333333333334,0.003676,0.012229681015014648,0.016423582661198616,0.0,37.0
12,0.7,NP,NA,1,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,0,0,,0.0,0.0,,,0,0,,12.0,54.0,0.0,0.002281833333333333,0.0024435,0.1985776424407959,0.2032647099655296,0.0,1643.0
12,0.7,PP,2,2,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,3,0,0.0,4.5,4.5,4.5,4.5,3,0,0.0,8.0,24.0,0.5555555555555556,0.003819166666666667,0.003916,0.026625633239746094,0.03100661480083704,0.0,149.33333333333334
12,0.7,PP,2,3,3,3,1.0,3.6944444444444446,3.9166666666666665,0.0,0.0,3,1.0,3,0,0.0,6.0,6.0,6.0,6.0,3,0,0.0,6.0,13.0,0.7592592592592592,0.0021015,0.001352,0.013022343317667643,0.01684522175705973,0.0,41.333333333333336
12,0.7,PP,3,2,3,3,1.0,4.138888888888888,4.166666666666667,0.44444444444444436,0.0,3,1.0,3,0,0.0,10.0,10.0,9.555555555555555,10.0,3,0,0.0,8.0,24.0,0.5555555555555556,0.003972666666666667,0.0037605,0.03332233428955078,0.03781735209594742,0.0,242.33333333333334
12,0.7,PP,3,3,3,3,1.0,4.138888888888888,4.166666666666667,0.44444444444444436,0.0,3,1.0,3,0,0.0,13.333333333333334,13.333333333333334,12.888888888888891,13.333333333333334,3,0,0.0,5.333333333333333,10.333333333333334,0.808641975308642,0.0034703333333333335,0.0036355,0.012201944986979166,0.016177175791974387,0.0,37.0
12,1.0,CHP,2,NA,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,0,0,,8.25,8.25,,,0,0,,4.666666666666667,8.0,0.8518518518518517,0.0035473333333333333,0.003586,0.007513682047526042,0.011609132016850947,0.0,22.666666666666668
12,1.0,CHP,3,NA,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,0,0,,18.333333333333332,18.333333333333332,,,0,0,,4.0,6.0,0.8888888888888888,0.003001166666666667,0.00354,0.004141012827555339,0.007964440445885181,0.0,13.333333333333334
12,1.0,NP,NA,1,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,0,0,,0.0,0.0,,,0,0,,12.0,54.0,0.0,0.0024955,0.00325,0.34501441319783527,0.34991180386647747,0.0,3607.0
12,1.0,PP,2,2,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,3,0,0.0,4.5,4.5,4.5,4.5,3,0,0.0,8.0,24.0,0.5555555555555556,0.0030113333333333333,0.003801,0.04105496406555176,0.045526253426956015,0.0,261.0
12,1.0,PP,2,3,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,3,0,0.0,6.0,6.0,6.0,6.0,3,0,0.0,4.666666666666667,8.0,0.8518518518518517,0.0039026666666666667,0.003796,0.007622718811035156,0.01148159006277577,0.0,22.666666666666668
12,1.0,PP,3,2,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,3,0,0.0,10.0,10.0,10.0,10.0,3,0,0.0,8.0,24.0,0.5555555555555556,0.0021883333333333334,0.001402,0.03241268793741862,0.03662052754159848,0.0,175.33333333333334
12,1.0,PP,3,3,3,3,1.0,4.75,5.083333333333333,0.0,0.0,3,1.0,3,0,0.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,3,0,0.0,4.0,6.0,0.8888888888888888,0.0037256666666666666,0.003731,0.004145701726277669,0.008070341066881656,0.0,13.333333333333334
16,0.4,CHP,2,NA,3,3,1.0,4.479166666666667,4.4375,0.0,0.0,1,0.3333333333333333,0,0,,12.1875,12.1875,,,0,0,,9.0,29.333333333333332,0.6944444444444443,0.004138,0.004046,0.05685011545817057,0.061798879389652096,0.0,569.0
16,0.4,CHP,3,NA,3,3,1.0,4.6875,4.4375,0.0,0.0,1,0.3333333333333333,0,0,,26.25,26.25,,,0,0,,8.0,24.0,0.75,0.003978,0.0040015,0.04891069730122884,0.053412865237310404,0.0,467.3333333333333
16,0.4,NP,NA,1,3,3,0.3333333333333333,4.395833333333333,4.4375,0.0,0.0,1,0.3333333333333333,0,0,,0.0,0.0,,,0,0,,16.0,96.0,0.0,0.0030364999999999997,0.003045,3.9217387040456138,3.9273690212676757,0.2546056241157659,11991.0
16,0.4,PP,2,2,3,3,1.0,4.479166666666667,4.4375,0.0,0.0,1,0.3333333333333333,1,0,0.0,6.5,6.5,6.5,6.5,1,0,0.0,11.0,45.0,0.53125,0.004348333333333333,0.0043415,0.21354301770528158,0.2186571685479625,0.0,2398.3333333333335
16,0.4,PP,2,3,3,3,1.0,4.395833333333333,4.4375,0.0,0.0,1,0.3333333333333333,1,0,0.0,8.125,8.125,8.125,8.125,1,0,0.0,9.666666666666666,34.333333333333336,0.642361111111111,0.0041795,0.004181,0.0838011900583903,0.08863773914422225,0.0,748.3333333333334
16,0.4,PP,3,2,3,3,1.0,4.479166666666667,4.4375,0.0,0.0,1,0.3333333333333333,1,0,0.0,14.0,14.0,14.0,14.0,1,0,0.0,10.333333333333334,40.333333333333336,0.579861111111111,0.004167833333333333,0.004121,0.1827223300933838,0.18767915434231872,0.0,1940.6666666666667
16,0.4,PP,3,3,3,3,1.0,4.6875,4.4375,0.0,0.0,1,0.3333333333333333,1,0,0.0,17.5,17.5,17.5,17.5,1,0,0.0,9.0,30.333333333333332,0.6840277777777777,0.003867666666666667,0.004031,0.06406029065450032,0.06840223652198411,0.0,591.6666666666666
16,0.7,CHP,2,NA,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,0,0,,12.1875,12.1875,,,0,0,,5.666666666666667,12.0,0.875,0.0030263333333333336,0.003871,0.009225209554036459,0.013703727319221974,0.0,38.333333333333336
16,0.7,CHP,3,NA,3,3,1.0,5.9375,7.3125,0.0,0.0,1,0.3333333333333333,0,0,,26.25,26.25,,,0,0,,5.0,9.666666666666666,0.8993055555555555,0.0038743333333333334,0.003881,0.007281700770060222,0.011157501830787819,0.0,26.666666666666668
16,0.7,NP,NA,1,3,3,0.3333333333333333,5.395833333333333,5.9375,0.0,0.0,1,0.3333333333333333,0,0,,0.0,0.0,,,0,0,,16.0,96.0,0.0,0.0030341666666666663,0.002969,3.390785296758016,3.39641659760691,0.1426212590299352,12865.333333333334
16,0.7,PP,2,2,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,1,0,0.0,6.5,6.5,6.5,6.5,1,0,0.0,9.333333333333334,32.666666666666664,0.6597222222222222,0.0024305,0.0015575,0.07208363215128581,0.07622085082919328,0.0,696.6666666666666
16,0.7,PP,2,3,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,1,0,0.0,8.125,8.125,8.125,8.125,1,0,0.0,8.333333333333334,26.0,0.7291666666666666,0.0036073333333333335,0.004282,0.03055596351623535,0.03478379424475733,0.0,237.66666666666666
16,0.7,PP,3,2,3,3,1.0,5.5625,6.1875,0.0,0.0,1,0.3333333333333333,1,0,0.0,14.0,14.0,14.0,14.0,1,0,0.0,8.666666666666666,28.333333333333332,0.704861111111111,0.002326833333333333,0.0014175,0.0517122745513916,0.055817212678120294,0.0,399.6666666666667
16,0.7,PP,3,3,3,3,1.0,5.479166666666667,5.9375,0.0,0.0,1,0.3333333333333333,1,0,0.0,17.5,17.5,17.5,17.5,1,0,0.0,8.333333333333334,26.0,0.7291666666666666,0.004086,0.004081,0.03067294756571452,0.034984445487235546,0.0,237.66666666666666
16,1.0,CHP,2,NA,3,3,1.0,6.645833333333333,6.8125,0.0,0.0,1,0.3333333333333333,0,0,,12.1875,12.1875,,,0,0,,5.333333333333333,10.333333333333334,0.8923611111111112,0.003987833333333333,0.003951,0.01474459966023763,0.019301707145544213,0.0,68.66666666666667
16,1.0,CHP,3,NA,3,3,1.0,6.8125,6.8125,0.0,0.0,1,0.3333333333333333,0,0,,26.25,26.25,,,0,0,,4.0,6.0,0.9375,0.0032301666666666663,0.003791,0.00725563367207845,0.011758527127139727,0.0,25.0
16,1.0,NP,NA,1,3,3,0.3333333333333333,6.6875,6.8125,0.0,0.0,1,0.3333333333333333,0,0,,0.0,0.0,,,0,0,,16.0,96.0,0.0,0.0031731666666666666,0.0030895,4.897835652033488,4.903964810534472,0.2869002327685246,15427.0
16,1.0,PP,2,2,3,3,1.0,6.645833333333333,6.8125,0.0,0.0,1,0.3333333333333333,1,0,0.0,6.5,6.5,6.5,6.5,1,0,0.0,8.666666666666666,28.0,0.7083333333333334,0.0034985,0.004306,0.09427730242411296,0.09862696424664115,0.0,918.0
16,1.0,PP,2,3,3,3,1.0,6.645833333333333,6.8125,0.0,0.0,1,0.3333333333333333,1,0,0.0,8.125,8.125,8.125,8.125,1,0,0.0,8.0,24.0,0.75,0.004158,0.004041,0.0426940123240153,0.047073458586978596,0.0,333.3333333333333
