scenario,method,cases,mean_runtime_seconds,ci95_runtime_seconds,mean_node_count,ci95_node_count,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_dimension_reduction_fraction,ci95_dimension_reduction_fraction,all_actual_gaps_within_bound
balanced_bursty_L3,bound_aware_loss_budget,5,0.0013211727142333984,0.0006776435703605452,0.6,0.4800999895855029,0.0,0.0,0.5733333333333334,0.28508100992914664,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,fixed_size_2,5,0.002900218963623047,0.0013154414600775016,0.8,0.39199999999999996,0.36,0.5764162693362805,6.213333333333333,5.759184287919793,27.0,0.0,0.64,0.0,True
balanced_bursty_L3,fixed_size_3,5,0.0022435665130615236,0.0005716235093266781,1.0,0.0,1.3066666666666666,1.2939299242574496,10.066666666666666,6.872743718648486,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,fixed_size_4,5,0.002198648452758789,0.0010704294189955292,0.8,0.39199999999999996,1.2933333333333334,1.6458813998044397,10.266666666666666,8.685255183355293,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,release_gap_hF,5,0.00184783935546875,0.0010629654262884283,0.6,0.4800999895855029,0.0,0.0,0.0,0.0,15.2,1.5679999999999998,0.7973333333333332,0.02090666666666667,True
balanced_bursty_L3,release_gap_hS,5,0.001545858383178711,0.0010196616099519395,0.6,0.4800999895855029,0.013333333333333374,0.026133333333333415,1.04,0.3709644846732486,12.0,0.0,0.8400000000000001,0.0,True
balanced_bursty_L3,vehicle_level,5,0.018789958953857423,0.013468573731388685,26.0,49.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
balanced_poisson_L3,bound_aware_loss_budget,5,0.003978061676025391,0.0008715067723961529,1.0,0.0,0.0,0.0,0.96,0.9391652463757375,13.6,3.1359999999999997,0.8186666666666665,0.04181333333333334,True
balanced_poisson_L3,fixed_size_2,5,0.01842784881591797,0.0022485478026163744,124.0,23.35609556411345,0.11999999999999975,0.06401333194473352,2.6133333333333333,1.1013270056315398,27.0,0.0,0.64,0.0,True
balanced_poisson_L3,fixed_size_3,5,0.004340410232543945,0.0014984084612624233,1.0,0.0,0.07999999999999989,0.06401333194473363,3.3600000000000003,3.0069236372079686,12.0,0.0,0.8400000000000001,0.0,True
balanced_poisson_L3,fixed_size_4,5,0.003853178024291992,0.001089203376955913,1.0,0.0,0.3999999999999998,0.5901737597239193,3.6,2.428783691937638,12.0,0.0,0.8400000000000001,0.0,True
balanced_poisson_L3,release_gap_hF,5,0.008619880676269532,0.004717871251759553,32.2,41.538129760498364,0.0,0.0,0.0,0.0,19.2,5.626258437007671,0.744,0.07501677916010227,True
balanced_poisson_L3,release_gap_hS,5,0.004345417022705078,0.0007747940654135234,1.0,0.0,0.05333333333333314,0.06401333194473348,1.7333333333333332,0.4069590205959864,12.8,1.5679999999999998,0.8293333333333333,0.02090666666666667,True
balanced_poisson_L3,vehicle_level,5,0.15533781051635742,0.03574277632924562,3343.6,1911.9080784012601,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
balanced_uniform_L3,bound_aware_loss_budget,5,0.0033093929290771485,0.0009706701702799557,1.0,0.0,0.10666666666666665,0.17820557417394836,4.4399999999999995,2.5603999132080046,14.6,3.4841722115877105,0.8053333333333332,0.046455629487836145,True
balanced_uniform_L3,fixed_size_2,5,0.012135791778564452,0.00695040685644427,51.8,68.39641791789975,0.36000000000000004,0.4144420399096169,5.706666666666666,2.8739538510174056,27.0,0.0,0.64,0.0,True
balanced_uniform_L3,fixed_size_3,5,0.0048293590545654295,0.0019375573337207025,15.8,29.008000000000003,2.28,1.3160410395492144,14.280000000000001,3.8570799225435928,12.0,0.0,0.8400000000000001,0.0,True
balanced_uniform_L3,fixed_size_4,5,0.0038197994232177734,0.0007302133028445861,1.0,0.0,3.306666666666666,1.621320087665192,13.906666666666666,6.076576030042649,12.0,0.0,0.8400000000000001,0.0,True
balanced_uniform_L3,release_gap_hF,5,0.02148137092590332,0.012542200000744913,204.8,236.73311332384407,0.0,0.0,0.0,0.0,39.0,11.71089748909109,0.48,0.15614529985454784,True
balanced_uniform_L3,release_gap_hS,5,0.007989788055419922,0.008235363315281227,55.0,105.83999999999999,0.10666666666666665,0.17820557417394836,2.146666666666667,1.0650736103929885,20.6,6.918550137131333,0.7253333333333333,0.09224733516175108,True
balanced_uniform_L3,vehicle_level,5,0.10745396614074706,0.034611451731489364,2028.4,1664.84303685843,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,True
balanced_uniform_L4,bound_aware_loss_budget,5,0.003656911849975586,0.0009232121918629478,1.0,0.0,0.55,0.5387215189687525,13.3875,2.7822336350493644,15.6,2.1109846043967258,0.8375,0.021989422962465918,True
balanced_uniform_L4,fixed_size_2,5,0.015259981155395508,0.007963870934897336,129.8,128.08176351065754,0.8375,0.24067431312875914,18.6875,5.401263798871519,24.0,0.0,0.75,0.0,True
balanced_uniform_L4,fixed_size_3,5,0.013418102264404297,0.005548796491186508,111.6,140.83742264043318,2.25,0.803286219226995,18.8625,5.5448539430719,24.0,0.0,0.75,0.0,True
