experiment_group,scenario,replication,method,counts,releases,hF,hS,N,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,status,runtime_seconds,node_count,time_to_first_feasible,mip_gap,objective_average_delay,vehicle_level_average_delay,actual_average_gap,actual_gap_le_indexed_bound
comparison_runtime,balanced_uniform_L3,0,vehicle_level,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",15,"[5, 5, 5]",75,75,0,0,0.0,OPTIMAL,0.15814805030822754,5060.0,0.00016808509826660156,0.0,2.6666666666666665,2.6666666666666665,0.0,True
comparison_runtime,balanced_uniform_L3,0,fixed_size_2,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[2, 2, 1], [2, 2, 1], [2, 2, 1]]",9,"[3, 3, 3]",27,75,16/25,116,7.733333333333333,OPTIMAL,0.009911060333251953,1.0,0.00013208389282226562,0.0,2.7333333333333334,2.6666666666666665,0.06666666666666687,True
comparison_runtime,balanced_uniform_L3,0,fixed_size_3,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[3, 2], [3, 2], [3, 2]]",6,"[2, 2, 2]",12,75,21/25,273,18.2,OPTIMAL,0.008249044418334961,75.0,0.0001399517059326172,0.0,5.866666666666666,2.6666666666666665,3.1999999999999997,True
comparison_runtime,balanced_uniform_L3,0,fixed_size_4,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[4, 1], [4, 1], [4, 1]]",6,"[2, 2, 2]",12,75,21/25,292,19.466666666666665,OPTIMAL,0.0046999454498291016,1.0,0.00011992454528808594,0.0,6.733333333333333,2.6666666666666665,4.066666666666666,True
comparison_runtime,balanced_uniform_L3,0,release_gap_hF,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[1, 1, 1, 1, 1], [1, 1, 2, 1], [2, 1, 2]]",12,"[5, 4, 3]",47,75,28/75,0,0.0,OPTIMAL,0.0420069694519043,674.0,0.0001499652862548828,0.0,2.6666666666666665,2.6666666666666665,0.0,True
comparison_runtime,balanced_uniform_L3,0,release_gap_hS,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[2, 1, 1, 1], [2, 2, 1], [2, 1, 2]]",10,"[4, 3, 3]",33,75,14/25,24,1.6,OPTIMAL,0.024724960327148438,271.0,0.00014400482177734375,0.0,2.7333333333333334,2.6666666666666665,0.06666666666666687,True
comparison_runtime,balanced_uniform_L3,0,bound_aware_loss_budget,"[5, 5, 5]","[[4, 6, 9, 12, 17], [2, 4, 11, 12, 16], [3, 3, 10, 17, 18]]",1,2,15,"[[4, 1], [2, 3], [2, 1, 2]]",7,"[2, 2, 3]",16,75,59/75,101,6.733333333333333,OPTIMAL,0.0030100345611572266,1.0,0.00012111663818359375,0.0,2.7333333333333334,2.6666666666666665,0.06666666666666687,True
comparison_runtime,balanced_poisson_L3,1,vehicle_level,"[5, 5, 5]","[[2, 3, 3, 5, 6], [3, 5, 6, 6, 6], [1, 3, 4, 4, 4]]",1,2,15,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",15,"[5, 5, 5]",75,75,0,0,0.0,OPTIMAL,0.2235870361328125,7106.0,0.0008189678192138672,0.0,5.733333333333333,5.733333333333333,0.0,True
comparison_runtime,balanced_poisson_L3,1,fixed_size_2,"[5, 5, 5]","[[2, 3, 3, 5, 6], [3, 5, 6, 6, 6], [1, 3, 4, 4, 4]]",1,2,15,"[[2, 2, 1], [2, 2, 1], [2, 2, 1]]",9,"[3, 3, 3]",27,75,16/25,34,2.2666666666666666,OPTIMAL,0.01995110511779785,146.0,0.00017309188842773438,0.0,5.866666666666666,5.733333333333333,0.13333333333333286,True
comparison_runtime,balanced_poisson_L3,1,fixed_size_3,"[5, 5, 5]","[[2, 3, 3, 5, 6], [3, 5, 6, 6, 6], [1, 3, 4, 4, 4]]",1,2,15,"[[3, 2], [3, 2], [3, 2]]",6,"[2, 2, 2]",12,75,21/25,24,1.6,OPTIMAL,0.006082057952880859,1.0,0.00014495849609375,0.0,5.866666666666666,5.733333333333333,0.13333333333333286,True
