scenario,N,method_family,method_label,vehicle_level_ordering_variables,mean_ordering_variables,mean_dimension_reduction_fraction,optimality_rate,mean_end_to_end_seconds,mean_nodes,mean_mip_gap,mean_indexed_bound,mean_objective_average_delay,time_limit_case_count,time_limit_mean_objective_average_delay,time_limit_mean_mip_gap,optimal_count,time_limit_count
N20,20,proposed_bound_aware,Proposed,150,41.641666666666666,0.7223888888888889,1.0,0.5478492953892177,3459.766666666667,0.0,1.7641666666666667,6.086666666666667,0,,,120,0
N20,20,fixed_size_closest_dimension,Fixed size,150,39.0,0.74,1.0,0.19415370316710323,1619.7666666666667,0.0,9.600833333333332,6.3774999999999995,0,,,120,0
N20,20,threshold_closest_dimension,Threshold,150,48.0,0.6799999999999999,0.9916666666666667,1.6824350057092186,6696.108333333334,0.001516501201414797,2.753333333333333,6.173333333333333,1,7.7,0.18194375475109092,119,1
N30,30,proposed_bound_aware,Proposed,337,88.78333333333333,0.7365479723046489,0.75,11.371524645597674,37682.066666666666,0.07912074221873963,4.899166666666667,8.261666666666667,30,7.833333333333333,0.3164663569852259,90,30
N30,30,fixed_size_closest_dimension,Fixed size,337,67.5,0.7997032640949555,0.9166666666666666,8.063544694815452,31312.95,0.01997217238918499,20.209166666666665,8.77361111111111,10,9.993333333333334,0.23962965026706304,110,10
N30,30,threshold_closest_dimension,Threshold,337,107.26666666666667,0.6817012858555885,0.6333333333333333,12.741368822435227,30751.458333333332,0.15853133014940843,6.056388888888889,8.378333333333334,44,8.299242424242424,0.4323493739209507,76,44
N40,40,proposed_bound_aware,Proposed,600,141.25833333333333,0.7645694444444444,0.275,23.025401083224764,58171.35,0.3163711953515736,5.4556249999999995,11.836249999991058,87,11.79568965516008,0.43637406255389466,33,87
N40,40,fixed_size_closest_dimension,Fixed size,600,126.0,0.7899999999999999,0.25,22.684025408979505,46684.26666666667,0.3619766046742434,22.752083333333335,12.073125000000001,90,12.040833333333333,0.4826349251758758,30,90
N40,40,threshold_closest_dimension,Threshold,600,175.24166666666667,0.7079305555555556,0.35,21.7262346503092,48195.03333333333,0.32451808137115884,7.756875,11.960625,78,11.873076923076923,0.49925554184710846,42,78
