scenario,method_label,time_limit_case_count,time_limit_mean_objective_average_delay,time_limit_mean_mip_gap
N20,Proposed,0,,
N20,Fixed size,0,,
N20,Threshold,1,7.7,0.18194375475109092
N30,Proposed,30,7.833333333333333,0.3164663569852259
N30,Fixed size,10,9.993333333333334,0.23962965026706304
N30,Threshold,44,8.299242424242424,0.4323493739209507
N40,Proposed,87,11.79568965516008,0.43637406255389466
N40,Fixed size,90,12.040833333333333,0.4826349251758758
N40,Threshold,78,11.873076923076923,0.49925554184710846
