N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,actual_gap_case_count,statuses,all_actual_gaps_within_bound,batch
20,4,balanced,poisson,0.25,fixed_size_closest_dimension,30,0.3455808628040055,0.08068587869115694,3.211153671145439e-05,4.664829960593692e-06,0.004883854960401853,0.00019317100287119068,0.3406162103017171,0.0806539475850083,0.09999999999999991,0.09297096320895033,7.461666666666667,1.4741820180613652,54.0,0.0,2938.1666666666665,646.0839687047791,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.25,proposed_bound_aware,30,1.0979410528515776,0.945484380869832,0.007507443055510521,0.00011078400282901228,0.004603784810751676,0.00014842581571863263,1.0857803662618002,0.9453886209475488,0.0,0.0,0.0,0.0,53.43333333333333,4.9892421955467094,7025.166666666667,5370.182533344852,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.25,threshold_closest_dimension,30,5.889693954152365,2.7907748964962993,7.004846508304277e-05,7.3362971084718605e-06,0.005315452565749486,0.00024316896632131432,5.884257841110229,2.790645454928277,0.0,0.0,0.0,0.0,82.06666666666666,7.59972895665098,21061.166666666668,7912.31726338301,5,"{""OPTIMAL"": 29, ""TIME_LIMIT"": 1}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.5,fixed_size_closest_dimension,30,0.3450056775473058,0.08049178782460709,3.571026027202606e-05,3.877319777702514e-06,0.0048716861133774126,0.00016556571914565828,0.34004988670349123,0.08045602896726828,0.09999999999999991,0.09297096320895033,7.461666666666667,1.4741820180613652,54.0,0.0,2938.1666666666665,646.0839687047791,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.5,proposed_bound_aware,30,0.926643606244276,0.7517684838060971,0.007298262293140094,0.0001646951447784132,0.0043824065166215105,0.00011759191337792564,0.9149145603179931,0.7517383883821771,0.0,0.0,0.05166666666666666,0.07071305027310873,52.7,4.499175771259626,5408.6,3055.8999127520633,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.5,threshold_closest_dimension,30,0.7280953218229115,0.5729099830001096,7.562941561142603e-05,8.288230928477552e-06,0.005025804322212934,0.00017601425361034727,0.7229447364807129,0.5728603595054218,0.0,0.0,0.15833333333333333,0.2589037203256597,53.63333333333333,4.689788558166191,4820.766666666666,2276.661909748969,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.75,fixed_size_closest_dimension,30,0.04278193737069766,0.004999449827021736,3.096240883072217e-05,5.2076507048222336e-06,0.004013043145338694,0.00015728065733003457,0.03869308630625407,0.0049415767957866705,0.5200000000000001,0.34869275874328104,11.74,2.173097058731309,24.0,0.0,301.3666666666667,60.03515538613644,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.75,proposed_bound_aware,30,0.11779834562912583,0.021220410317035025,0.00786634764323632,0.000424318718251618,0.00427820843954881,0.00014641579401138624,0.10560580094655354,0.021203052485305178,0.0,0.0,1.8533333333333333,0.645284931689199,36.43333333333333,0.4668886828202134,1105.4333333333334,266.1075285811562,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.75,threshold_closest_dimension,30,0.07614000892887512,0.016884904516829544,7.007448002696037e-05,7.792500344005334e-06,0.004488585299501816,0.00018995218719235855,0.0715333620707194,0.016890258190676386,0.2,0.39199999999999996,3.01,1.0172572111138944,32.3,1.8201782406089262,690.7333333333333,213.1749665054093,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.9,fixed_size_closest_dimension,30,0.043246334946403904,0.004872884103212366,3.684107214212418e-05,5.6702701589183515e-06,0.004351922341932853,0.00019917976344510158,0.03880899747212728,0.004880215910232018,0.5200000000000001,0.34869275874328104,11.74,2.173097058731309,24.0,0.0,301.3666666666667,60.03515538613644,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.9,proposed_bound_aware,30,0.04901417683189114,0.005498817719372627,0.00834133696431915,0.0005114422279000353,0.004002230862776439,0.00016618886981025296,0.036622508366902666,0.005460263911187139,0.21999999999999992,0.3840799916684023,5.151666666666667,1.1704625728016689,24.0,0.0,299.8666666666667,72.35680168638969,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
20,4,balanced,poisson,0.9,threshold_closest_dimension,30,0.03581073793272178,0.003267787721935141,7.756995037198067e-05,8.258716290590832e-06,0.004548068189372619,0.00018010084012431974,0.031133548418680827,0.00327674636593601,0.2,0.39199999999999996,7.845,1.8350151275019286,24.0,0.0,211.76666666666668,40.86161242376188,5,"{""OPTIMAL"": 30}",True,N20_L4_balanced_poisson_hS2
