N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,statuses,all_actual_gaps_within_bound
30,4,unbalanced,bursty,0.9,proposed_bound_aware,1,0.017806599847972393,0.0,0.015182701870799065,0.0,0.0020547928288578987,0.0,0.0005691051483154297,0.0,2.3,0.0,48.93333333333333,0.0,29.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.9,threshold_closest_dimension,1,0.002348662354052067,0.0,0.0,0.0,0.0019526490941643715,0.0,0.0003960132598876953,0.0,2.3,0.0,49.63333333333333,0.0,29.0,0.0,0.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.25,fixed_size_closest_dimension,1,24.702390200458467,0.0,0.0,0.0,0.01276207622140646,0.0,24.68962812423706,0.0,0.0,0.0,0.0,0.0,560.0,0.0,47695.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.25,proposed_bound_aware,1,0.08234165981411934,0.0,0.022255955263972282,0.0,0.0032996442168951035,0.0,0.05678606033325195,0.0,0.0,0.0,0.0,0.0,89.0,0.0,58.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.25,threshold_closest_dimension,1,0.9155840305611491,0.0,0.0,0.0,0.007383051328361034,0.0,0.9082009792327881,0.0,0.0,0.0,0.0,0.0,281.0,0.0,3039.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.5,fixed_size_closest_dimension,1,0.30215934664011,0.0,0.0,0.0,0.0042055025696754456,0.0,0.29795384407043457,0.0,2.0999999999999996,0.0,70.125,0.0,140.0,0.0,1676.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.5,proposed_bound_aware,1,0.08158364053815603,0.0,0.02079189382493496,0.0,0.0031616846099495888,0.0,0.057630062103271484,0.0,0.0,0.0,0.0,0.0,89.0,0.0,58.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.5,threshold_closest_dimension,1,0.9132303977385163,0.0,0.0,0.0,0.007074334658682346,0.0,0.906156063079834,0.0,0.0,0.0,0.0,0.0,281.0,0.0,3039.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.75,fixed_size_closest_dimension,1,0.30387401580810547,0.0,0.0,0.0,0.004147052764892578,0.0,0.2997269630432129,0.0,2.0999999999999996,0.0,70.125,0.0,140.0,0.0,1676.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.75,proposed_bound_aware,1,0.08074057847261429,0.0,0.020722038112580776,0.0,0.0031094560399651527,0.0,0.05690908432006836,0.0,0.0,0.0,0.0,0.0,89.0,0.0,58.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.75,threshold_closest_dimension,1,0.07929564639925957,0.0,0.0,0.0,0.003163587301969528,0.0,0.07613205909729004,0.0,0.0,0.0,0.0,0.0,89.0,0.0,81.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.9,fixed_size_closest_dimension,1,0.030261055566370487,0.0,0.0,0.0,0.0019581476226449013,0.0,0.028302907943725586,0.0,2.8499999999999996,0.0,72.775,0.0,35.0,0.0,45.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.9,proposed_bound_aware,1,0.10869002435356379,0.0,0.07003439031541348,0.0,0.002650613896548748,0.0,0.03600502014160156,0.0,0.7750000000000004,0.0,24.125,0.0,51.0,0.0,31.0,0.0,"{""OPTIMAL"": 1}",True
40,4,unbalanced,bursty,0.9,threshold_closest_dimension,1,0.03555590659379959,0.0,0.0,0.0,0.00240904837846756,0.0,0.03314685821533203,0.0,0.22499999999999964,0.0,12.15,0.0,58.0,0.0,34.0,0.0,"{""OPTIMAL"": 1}",True
