scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N30_L4_unbalanced_bursty_hS2,0,0.25,236,proposed_bound_aware,min_Bidx_under_C_budget,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 2, 4, 1, 4], [4, 3, 2], [2, 4], [1, 2]]",12,"[5, 3, 2, 2]",51,315,0.8380952380952381,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,4.00543212890625e-05,0.00997228268533945,0.004595691338181496,0.0052149295806884766,0.0023137740790843964,0.0014271736145019531,0.0137132303789258
N30_L4_unbalanced_bursty_hS2,0,0.25,236,fixed_size_closest_dimension,fixed_size_1,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1]]",30,"[12, 9, 6, 3]",315,315,0.0,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,23.0,0.00015401840209960938,0.0,0.0,0.0,0.007854183204472065,0.02923297882080078,0.037087162025272846
N30_L4_unbalanced_bursty_hS2,0,0.25,236,threshold_closest_dimension,release_gap_threshold_0,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 1, 1, 1, 1, 2, 1, 2, 2], [1, 1, 2, 1, 2, 2], [1, 1, 2, 2], [1, 2]]",21,"[9, 6, 4, 2]",152,315,0.5174603174603175,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,6.508827209472656e-05,0.0,0.0,0.0,0.004352944903075695,0.013470888137817383,0.017823833040893078
N30_L4_unbalanced_bursty_hS2,0,0.5,158,proposed_bound_aware,min_Bidx_under_C_budget,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 2, 4, 1, 4], [4, 3, 2], [2, 4], [1, 2]]",12,"[5, 3, 2, 2]",51,315,0.8380952380952381,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,3.600120544433594e-05,0.010041385889053345,0.0043944669887423515,0.005501985549926758,0.0022784406319260597,0.0014240741729736328,0.013743900693953037
N30_L4_unbalanced_bursty_hS2,0,0.5,158,fixed_size_closest_dimension,fixed_size_2,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 1], [2, 2, 2], [2, 1]]",16,"[6, 5, 3, 2]",91,315,0.7111111111111111,1489,49.63333333333333,1.3,True,1.0333333333333334,2.3333333333333335,OPTIMAL,0.0,1.0,5.1975250244140625e-05,0.0,0.0,0.0,0.0030478332191705704,0.001085042953491211,0.004132876172661781
N30_L4_unbalanced_bursty_hS2,0,0.5,158,threshold_closest_dimension,release_gap_threshold_0,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 1, 1, 1, 1, 2, 1, 2, 2], [1, 1, 2, 1, 2, 2], [1, 1, 2, 2], [1, 2]]",21,"[9, 6, 4, 2]",152,315,0.5174603174603175,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,6.604194641113281e-05,0.0,0.0,0.0,0.004340745508670807,0.013409137725830078,0.017749883234500885
N30_L4_unbalanced_bursty_hS2,0,0.75,79,proposed_bound_aware,min_Bidx_under_C_budget,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 2, 4, 1, 4], [4, 3, 2], [2, 4], [1, 2]]",12,"[5, 3, 2, 2]",51,315,0.8380952380952381,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,3.409385681152344e-05,0.00987339299172163,0.00444614514708519,0.005285024642944336,0.002286604605615139,0.0014278888702392578,0.013587886467576027
N30_L4_unbalanced_bursty_hS2,0,0.75,79,fixed_size_closest_dimension,fixed_size_2,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 1], [2, 2, 2], [2, 1]]",16,"[6, 5, 3, 2]",91,315,0.7111111111111111,1489,49.63333333333333,1.3,True,1.0333333333333334,2.3333333333333335,OPTIMAL,0.0,1.0,5.1975250244140625e-05,0.0,0.0,0.0,0.003107273019850254,0.0010828971862792969,0.004190170206129551
N30_L4_unbalanced_bursty_hS2,0,0.75,79,threshold_closest_dimension,release_gap_threshold_1,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 2, 4, 1, 4], [4, 3, 2], [4, 2], [1, 2]]",12,"[5, 3, 2, 2]",51,315,0.8380952380952381,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,4.601478576660156e-05,0.0,0.0,0.0,0.002351973205804825,0.0009801387786865234,0.0033321119844913483
N30_L4_unbalanced_bursty_hS2,0,0.9,31,proposed_bound_aware,min_Bidx_under_C_budget,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[4, 4, 4], [4, 3, 2], [4, 2], [3]]",9,"[3, 3, 2, 1]",29,315,0.9079365079365079,1468,48.93333333333333,2.3,True,1.0333333333333334,3.3333333333333335,OPTIMAL,0.0,1.0,2.9087066650390625e-05,0.015182701870799065,0.004655572585761547,0.010384082794189453,0.0020547928288578987,0.0005691051483154297,0.017806599847972393
