N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,actual_gap_case_count,statuses,all_actual_gaps_within_bound
40,4,balanced,poisson,0.25,fixed_size_closest_dimension,5,30.00754351876676,0.0003324062257846495,4.441887140274048e-05,1.4470880721303638e-05,0.007269434817135334,0.000289286084874709,30.00017170906067,5.1128602424123535e-05,,,14.025,3.1988031668109866,150.0,0.0,71385.8,16189.500746814398,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.25,proposed_bound_aware,5,30.025700500607492,0.002713755855064909,0.018362940289080143,0.0027048433597045988,0.006918270885944366,0.00028872543929961837,30.00036425590515,0.0002252579663064105,,,0.0,0.0,158.0,14.991117369962787,83861.4,34207.28994316059,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.25,threshold_closest_dimension,5,30.01045424770564,0.001766988643642783,8.084625005722046e-05,2.5947691801975657e-05,0.010061617009341717,0.0016358355584312448,30.00025520324707,0.00020659692229086282,,,0.0,0.0,311.6,81.6489986221509,28805.6,16671.29073861097,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.5,fixed_size_closest_dimension,5,30.007299393601716,0.00023069277131923947,3.3540278673171996e-05,1.2010275763913161e-05,0.007021258398890495,0.0002266830290346666,30.00018677711487,3.824750415914526e-05,,,14.025,3.1988031668109866,150.0,0.0,70951.8,16198.352064495448,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.5,proposed_bound_aware,5,30.02508694678545,0.0010521708530006441,0.01773981414735317,0.0012251400797178998,0.006997814774513245,0.00012365807507162826,30.000295066833495,0.00016199557804559428,,,0.0,0.0,158.0,14.991117369962787,83744.4,34214.60467030206,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.5,threshold_closest_dimension,5,30.008192673139273,0.0006038678764299101,0.00010324623435735703,7.893759466898928e-06,0.007773811370134354,0.0006526802748012363,30.000257587432863,0.0001686235660398907,,,0.0,0.0,181.8,36.10551957803682,60663.8,20456.945088541055,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.75,fixed_size_closest_dimension,5,30.007330739870667,0.00022703863182767264,3.8217566907405856e-05,1.1584519379320747e-05,0.007065022550523281,0.00024331701804567403,30.000170946121216,5.11300118309345e-05,,,14.025,3.1988031668109866,150.0,0.0,71310.2,15827.735406468732,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.75,proposed_bound_aware,5,30.030327650904656,0.0050576320217743465,0.0229023277759552,0.005309211737074934,0.006945696100592614,0.0003597134913216037,30.000424575805663,0.0005377577649335121,,,0.58,0.531689514660577,145.6,5.700871512321602,88342.0,29622.533599604205,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.75,threshold_closest_dimension,5,18.06391667742282,9.615963298916046,9.683836251497268e-05,2.5800590882559638e-05,0.0059951478615403175,0.0005636064257028378,18.057767248153688,9.615410334619227,,,3.9200000000000004,3.2819540124748854,102.2,32.01106658641664,58244.4,18896.07147262351,0,"{""OPTIMAL"": 3, ""TIME_LIMIT"": 2}",N/A
40,4,balanced,poisson,0.9,fixed_size_closest_dimension,5,0.9271681835874915,0.19932367279984955,3.483239561319351e-05,1.3874451238944733e-05,0.005214205943048,0.0002577819722447005,0.9218685626983643,0.19913170939734617,,,21.945,5.430725507701525,54.0,0.0,8335.4,2340.7180171767804,0,"{""OPTIMAL"": 5}",N/A
40,4,balanced,poisson,0.9,proposed_bound_aware,5,2.987042851001024,2.0550067766988183,0.10505571700632572,0.014689506331648661,0.005364474840462208,0.0001501907580890977,2.8765591621398925,2.0449635779783537,,,12.34,2.579215900230145,54.0,0.0,23064.2,10665.382807265005,0,"{""OPTIMAL"": 5}",N/A
40,4,balanced,poisson,0.9,threshold_closest_dimension,5,2.309150449745357,2.4879055472681766,9.773001074790955e-05,2.9766474376149936e-05,0.005024265311658382,0.00017953344185427445,2.3039780139923094,2.487759095058659,,,17.134999999999998,4.057205917870079,54.0,0.0,13919.0,7632.348997167254,0,"{""OPTIMAL"": 5}",N/A
