scenario,replication,target_dimension_reduction,raw_target_ordering_budget,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,vehicle_level_status,vehicle_level_mip_gap,vehicle_level_nodes,vehicle_level_time_to_first_feasible,vehicle_level_model_construction_seconds,vehicle_level_downstream_optimization_seconds,vehicle_level_wall_time_seconds,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N40_L4_balanced_poisson_hS2,10,0.25,450,450,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[3, 3, 2, 2], [2, 1, 2, 4, 1], [2, 2, 1, 1, 1, 3], [4, 2, 3, 1]]",19,"[4, 5, 6, 4]",134,600,0.7766666666666666,0,0.0,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.925,TIME_LIMIT,0.40477742661340727,73624.0,0.0017218589782714844,0.021336477249860764,0.0110590485855937,0.009991884231567383,0.0069747380912303925,30.000473022460938,30.02884125430137
N40_L4_balanced_poisson_hS2,10,0.25,450,450,fixed_size_closest_dimension,fixed_size_2,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",20,"[5, 5, 5, 5]",150,600,0.75,326,8.15,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.925,TIME_LIMIT,0.5087680634384035,48453.0,0.0016529560089111328,5.616340786218643e-05,5.616340786218643e-05,0.0,0.0076737841591238976,30.000256061553955,30.008042971603572
N40_L4_balanced_poisson_hS2,10,0.25,450,450,threshold_closest_dimension,release_gap_threshold_0,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 1, 1, 1, 3, 1, 1], [2, 1, 2, 1, 1, 2, 1], [2, 2, 1, 1, 1, 3], [3, 2, 1, 1, 2, 1]]",26,"[7, 7, 6, 6]",253,600,0.5783333333333334,0,0.0,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.625,TIME_LIMIT,0.6230225280855665,20078.0,0.002485036849975586,4.612002521753311e-05,4.612002521753311e-05,0.0,0.008982361294329166,30.00009799003601,30.00918193627149
N40_L4_balanced_poisson_hS2,10,0.5,300,300,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[3, 3, 2, 2], [2, 1, 2, 4, 1], [2, 2, 1, 1, 1, 3], [4, 2, 3, 1]]",19,"[4, 5, 6, 4]",134,600,0.7766666666666666,0,0.0,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.925,TIME_LIMIT,0.4055611960673422,72985.0,0.0016350746154785156,0.019200931303203106,0.010879557579755783,0.008044004440307617,0.006873405538499355,30.000133991241455,30.026263317093253
N40_L4_balanced_poisson_hS2,10,0.5,300,300,fixed_size_closest_dimension,fixed_size_2,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",20,"[5, 5, 5, 5]",150,600,0.75,326,8.15,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.925,TIME_LIMIT,0.5098648767994335,47763.0,0.0016021728515625,2.0040199160575867e-05,2.0040199160575867e-05,0.0,0.0068344371393322945,30.00020718574524,30.007119021378458
N40_L4_balanced_poisson_hS2,10,0.5,300,300,threshold_closest_dimension,release_gap_threshold_0,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 1, 1, 1, 3, 1, 1], [2, 1, 2, 1, 1, 2, 1], [2, 2, 1, 1, 1, 3], [3, 2, 1, 1, 2, 1]]",26,"[7, 7, 6, 6]",253,600,0.5783333333333334,0,0.0,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.625,TIME_LIMIT,0.6226339629952806,20248.0,0.002473115921020508,0.00010409858077764511,0.00010409858077764511,0.0,0.00909009575843811,30.000108003616333,30.009358706884086
N40_L4_balanced_poisson_hS2,10,0.75,150,150,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[3, 2, 3, 2], [2, 1, 2, 4, 1], [2, 2, 1, 1, 1, 3], [2, 4, 3, 1]]",19,"[4, 5, 6, 4]",134,600,0.7766666666666666,0,0.0,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.925,TIME_LIMIT,0.4130117146474637,71494.0,0.0016100406646728516,0.018133156932890415,0.010672054253518581,0.007195949554443359,0.007212957367300987,30.001521110534668,30.026919716969132
N40_L4_balanced_poisson_hS2,10,0.75,150,150,fixed_size_closest_dimension,fixed_size_2,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",20,"[5, 5, 5, 5]",150,600,0.75,326,8.15,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.925,TIME_LIMIT,0.5076529653845271,49122.0,0.0015649795532226562,2.7651898562908173e-05,2.7651898562908173e-05,0.0,0.006754484958946705,30.00027298927307,30.007110175676644
N40_L4_balanced_poisson_hS2,10,0.75,150,150,threshold_closest_dimension,release_gap_threshold_1,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[3, 4, 1, 2], [2, 1, 2, 4, 1], [2, 2, 1, 1, 1, 3], [4, 2, 3, 1]]",19,"[4, 5, 6, 4]",134,600,0.7766666666666666,0,0.0,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.7,TIME_LIMIT,0.37329572338486006,80499.0,0.0016582012176513672,9.894929826259613e-05,9.894929826259613e-05,0.0,0.006480441428720951,30.000144004821777,30.006778622977436
N40_L4_balanced_poisson_hS2,10,0.9,60,60,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[4, 4, 2], [3, 3, 4], [2, 4, 4], [2, 4, 4]]",12,"[3, 3, 3, 3]",54,600,0.91,324,8.1,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.825,OPTIMAL,0.0,44323.0,0.0010669231414794922,0.12623262498527765,0.011162185110151768,0.11478805541992188,0.005370995029807091,7.016294002532959,7.1479568015784025
N40_L4_balanced_poisson_hS2,10,0.9,60,60,fixed_size_closest_dimension,fixed_size_4,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[4, 4, 2], [4, 4, 2], [4, 4, 2], [4, 4, 2]]",12,"[3, 3, 3, 3]",54,600,0.91,598,14.95,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.725,OPTIMAL,0.0,11348.0,0.00092315673828125,1.749582588672638e-05,1.749582588672638e-05,0.0,0.005729637108743191,1.2283821105957031,1.2341797212138772
N40_L4_balanced_poisson_hS2,10,0.9,60,60,threshold_closest_dimension,release_gap_threshold_3,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[4, 4, 2], [4, 4, 2], [4, 2, 4], [4, 4, 2]]",12,"[3, 3, 3, 3]",54,600,0.91,430,10.75,,,,TIME_LIMIT,0.7780018493360137,13859.0,0.0065729618072509766,0.024794071912765503,30.000317096710205,30.02518138103187,15.725,OPTIMAL,0.0,15777.0,0.0009050369262695312,0.00010933447629213333,0.00010933447629213333,0.0,0.005064042285084724,1.3932528495788574,1.398477510549128
N40_L4_balanced_poisson_hS2,11,0.25,450,450,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 2, 3, 2, 1, 1], [1, 3, 4, 2], [1, 1, 4, 1, 3], [1, 1, 2, 1, 1, 4]]",21,"[6, 4, 5, 6]",164,600,0.7266666666666667,0,0.0,,,,TIME_LIMIT,0.7652072698233462,10375.0,0.00610804557800293,0.015920273959636688,30.00147008895874,30.01744763366878,11.5,TIME_LIMIT,0.33895609764783535,68470.0,0.001867055892944336,0.016201389022171497,0.011124097742140293,0.004803895950317383,0.006716248579323292,30.00076699256897,30.023738185875118
