N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,statuses,all_actual_gaps_within_bound
30,3,balanced,uniform,0.9,proposed_bound_aware,1,0.059446713887155056,0.0,0.052182428538799286,0.0,0.0040902188047766685,0.0,0.0031740665435791016,0.0,5.266666666666667,0.0,55.233333333333334,0.0,27.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,3,balanced,uniform,0.9,threshold_closest_dimension,1,0.005390792153775692,0.0,0.0,0.0,0.003979831002652645,0.0,0.0014109611511230469,0.0,4.766666666666667,0.0,58.9,0.0,27.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.25,fixed_size_closest_dimension,1,0.24111138097941875,0.0,0.0,0.0,0.015388352796435356,0.0,0.2257230281829834,0.0,0.0,0.0,0.0,0.0,533.0,0.0,688.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.25,proposed_bound_aware,1,0.0693426476791501,0.0,0.015479039400815964,0.0,0.011080586351454258,0.0,0.04278302192687988,0.0,0.0,0.0,0.0,0.0,340.0,0.0,6.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.25,threshold_closest_dimension,1,0.08187692239880562,0.0,0.0,0.0,0.013362813740968704,0.0,0.06851410865783691,0.0,0.0,0.0,0.0,0.0,456.0,0.0,25.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.5,fixed_size_closest_dimension,1,0.010666335932910442,0.0,0.0,0.0,0.006527389399707317,0.0,0.004138946533203125,0.0,2.3499999999999996,0.0,88.25,0.0,147.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.5,proposed_bound_aware,1,0.050223362632095814,0.0,0.01886444352567196,0.0,0.008557996712625027,0.0,0.022800922393798828,0.0,0.09999999999999987,0.0,3.325,0.0,257.0,0.0,21.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.5,threshold_closest_dimension,1,0.03169536683708429,0.0,0.0,0.0,0.009119273163378239,0.0,0.022576093673706055,0.0,0.09999999999999987,0.0,3.325,0.0,257.0,0.0,21.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.75,fixed_size_closest_dimension,1,0.010438903234899044,0.0,0.0,0.0,0.00625584926456213,0.0,0.004183053970336914,0.0,2.3499999999999996,0.0,88.25,0.0,147.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.75,proposed_bound_aware,1,0.044254896230995655,0.0,0.02689810749143362,0.0,0.006631767377257347,0.0,0.010725021362304688,0.0,0.925,0.0,20.775,0.0,133.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.75,threshold_closest_dimension,1,0.008330008015036583,0.0,0.0,0.0,0.005262037739157677,0.0,0.0030679702758789062,0.0,1.2249999999999999,0.0,27.575,0.0,107.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.9,fixed_size_closest_dimension,1,0.020846678875386715,0.0,0.0,0.0,0.005123688839375973,0.0,0.015722990036010742,0.0,8.075,0.0,126.95,0.0,48.0,0.0,13.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.9,proposed_bound_aware,1,0.16320888232439756,0.0,0.15677732974290848,0.0,0.005528661422431469,0.0,0.0009028911590576172,0.0,3.95,0.0,80.65,0.0,48.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
40,3,balanced,uniform,0.9,threshold_closest_dimension,1,0.007195861078798771,0.0,0.0,0.0,0.004372985102236271,0.0,0.0028228759765625,0.0,4.8,0.0,89.4,0.0,56.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.25,fixed_size_closest_dimension,1,0.6221215203404427,0.0,0.0,0.0,0.028174586594104767,0.0,0.5939469337463379,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1906.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.25,proposed_bound_aware,1,0.16305150277912617,0.0,0.031216139905154705,0.0,0.017344377003610134,0.0,0.11449098587036133,0.0,0.0,0.0,0.0,0.0,674.0,0.0,135.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.25,threshold_closest_dimension,1,0.29399959836155176,0.0,0.0,0.0,0.02502958569675684,0.0,0.2689700126647949,0.0,0.0,0.0,0.0,0.0,971.0,0.0,614.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.5,fixed_size_closest_dimension,1,0.03490626625716686,0.0,0.0,0.0,0.009595273062586784,0.0,0.025310993194580078,0.0,2.7,0.0,134.41666666666666,0.0,300.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.5,proposed_bound_aware,1,0.1084669167175889,0.0,0.04690248239785433,0.0,0.015843380242586136,0.0,0.04572105407714844,0.0,0.06666666666666665,0.0,2.1333333333333333,0.0,585.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.5,threshold_closest_dimension,1,0.13314077258110046,0.0,0.0,0.0,0.01766464114189148,0.0,0.11547613143920898,0.0,0.0,0.0,0.0,0.0,674.0,0.0,135.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.75,fixed_size_closest_dimension,1,0.03742750454694033,0.0,0.0,0.0,0.0110715227201581,0.0,0.026355981826782227,0.0,2.7,0.0,134.41666666666666,0.0,300.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.75,proposed_bound_aware,1,0.053895353339612484,0.0,0.03346509579569101,0.0,0.009432246908545494,0.0,0.010998010635375977,0.0,0.6499999999999999,0.0,21.95,0.0,299.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.75,threshold_closest_dimension,1,0.023912732489407063,0.0,0.0,0.0,0.010886733420193195,0.0,0.013025999069213867,0.0,0.5999999999999999,0.0,19.933333333333334,0.0,320.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.9,fixed_size_closest_dimension,1,0.025171424262225628,0.0,0.0,0.0,0.006667519919574261,0.0,0.018503904342651367,0.0,5.1000000000000005,0.0,163.26666666666668,0.0,147.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.9,proposed_bound_aware,1,0.17264493741095066,0.0,0.1618986651301384,0.0,0.006803305819630623,0.0,0.003942966461181641,0.0,3.283333333333333,0.0,89.93333333333334,0.0,120.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
60,3,balanced,uniform,0.9,threshold_closest_dimension,1,0.009831525385379791,0.0,0.0,0.0,0.005794622004032135,0.0,0.004036903381347656,0.0,3.6000000000000005,0.0,119.65,0.0,120.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
