scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N30_L3_balanced_uniform_hS2,0,0.25,225,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 1, 1, 1, 1, 1, 1]]",24,"[7, 8, 9]",191,300,0.36333333333333334,0,0.0,0.0,True,0.8,0.8,OPTIMAL,7.206479028335859e-08,13.0,0.0015659332275390625,0.010177642107009888,0.007651197724044323,0.0023779869079589844,0.007187015376985073,0.015666961669921875,0.033031619153916836
N30_L3_balanced_uniform_hS2,0,0.25,225,fixed_size_closest_dimension,fixed_size_1,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",30,"[10, 10, 10]",300,300,0.0,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,16.0,0.00021696090698242188,0.0,0.0,0.0,0.009136520326137543,0.026813030242919922,0.035949550569057465
N30_L3_balanced_uniform_hS2,0,0.25,225,threshold_closest_dimension,release_gap_threshold_1,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 1, 1, 1, 1, 1, 1]]",24,"[7, 8, 9]",191,300,0.36333333333333334,0,0.0,0.0,True,0.8,0.8,OPTIMAL,7.206479028335859e-08,13.0,0.0014791488647460938,0.0,0.0,0.0,0.008040715008974075,0.015313148498535156,0.02335386350750923
N30_L3_balanced_uniform_hS2,0,0.5,150,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 2, 2], [1, 2, 1, 1, 1, 1, 2, 1]]",21,"[7, 6, 8]",146,300,0.5133333333333333,81,2.7,0.09999999999999998,True,0.8,0.9,OPTIMAL,0.0,9.0,0.00015997886657714844,0.010748585686087608,0.006382018327713013,0.0042340755462646484,0.00693758949637413,0.013854026794433594,0.03154020197689533
N30_L3_balanced_uniform_hS2,0,0.5,150,fixed_size_closest_dimension,fixed_size_2,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",15,"[5, 5, 5]",75,300,0.75,1782,59.4,2.333333333333333,True,0.8,3.1333333333333333,OPTIMAL,0.0,1.0,0.0001289844512939453,0.0,0.0,0.0,0.005673638544976711,0.0014731884002685547,0.007146826945245266
N30_L3_balanced_uniform_hS2,0,0.5,150,threshold_closest_dimension,release_gap_threshold_2,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 2, 1, 1], [1, 2, 1, 1, 1, 1, 2, 1]]",22,"[7, 7, 8]",161,300,0.4633333333333333,41,1.3666666666666667,0.033333333333333326,True,0.8,0.8333333333333334,OPTIMAL,0.0,12.0,0.0001499652862548828,0.0,0.0,0.0,0.006426787003874779,0.008897781372070312,0.015324568375945091
N30_L3_balanced_uniform_hS2,0,0.75,75,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 3, 4, 1, 1], [4, 1, 3, 2], [1, 2, 3, 1, 2, 1]]",15,"[5, 4, 6]",74,300,0.7533333333333333,424,14.133333333333333,0.8999999999999999,True,0.8,1.7,OPTIMAL,0.0,1.0,0.00012993812561035156,0.010307027027010918,0.007349411025643349,0.0028219223022460938,0.0052199652418494225,0.0015769004821777344,0.017103892751038074
N30_L3_balanced_uniform_hS2,0,0.75,75,fixed_size_closest_dimension,fixed_size_2,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",15,"[5, 5, 5]",75,300,0.75,1782,59.4,2.333333333333333,True,0.8,3.1333333333333333,OPTIMAL,0.0,1.0,0.00012803077697753906,0.0,0.0,0.0,0.004998639225959778,0.0014739036560058594,0.006472542881965637
N30_L3_balanced_uniform_hS2,0,0.75,75,threshold_closest_dimension,release_gap_threshold_4,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 3, 4, 1, 1], [4, 1, 3, 2], [3, 3, 1, 2, 1]]",14,"[5, 4, 5]",65,300,0.7833333333333333,509,16.966666666666665,1.0,True,0.8,1.8,OPTIMAL,0.0,1.0,0.00013184547424316406,0.0,0.0,0.0,0.004807852208614349,0.0014438629150390625,0.006251715123653412
N30_L3_balanced_uniform_hS2,0,0.9,30,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[4, 4, 2], [4, 4, 2], [3, 4, 3]]",9,"[3, 3, 3]",27,300,0.91,1657,55.233333333333334,5.266666666666667,True,0.8,6.066666666666666,OPTIMAL,0.0,1.0,0.0001308917999267578,0.052182428538799286,0.0064479392021894455,0.04559206962585449,0.0040902188047766685,0.0031740665435791016,0.059446713887155056
