N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,actual_gap_case_count,statuses,all_actual_gaps_within_bound
40,4,balanced,poisson,0.25,fixed_size_closest_dimension,5,30.007554600015283,0.0004047764608893034,3.624521195888519e-05,1.5445559139688538e-05,0.007307238131761551,0.00039289466658698144,30.000153827667237,1.5414823427642798e-05,,,16.61,6.194123316499277,150.0,0.0,52931.4,8050.53687815266,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.25,proposed_bound_aware,5,30.025701427273454,0.0007173986203499975,0.0171378530561924,0.0006109486373206897,0.008297630026936531,0.0007236083973755185,30.000209522247314,3.5158386389073695e-05,,,0.0,0.0,212.4,40.34268528494354,44530.6,8985.117857013116,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.25,threshold_closest_dimension,5,30.011494559422136,0.0011202034947743436,8.51387158036232e-05,3.138697844488668e-05,0.011065352149307728,0.0011126650306057244,30.000285959243776,0.00023629925152826055,,,0.0,0.0,347.6,65.0725903587678,20057.6,7784.130675003857,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.5,fixed_size_closest_dimension,5,30.007721198908985,0.00026054088917055616,4.486795514822006e-05,3.4704608553783718e-06,0.007409851066768169,0.00018958775370112277,30.000209760665893,0.00010494857816756164,,,16.61,6.194123316499277,150.0,0.0,52875.0,8081.720528095488,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.5,proposed_bound_aware,5,30.025181430764498,0.000992232225489803,0.016661479510366915,0.0006886910219187426,0.008249551989138126,0.0007325064271328021,30.00021562576294,3.852568142034651e-05,,,0.0,0.0,212.4,40.34268528494354,44416.8,8882.437854124508,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.5,threshold_closest_dimension,5,30.009344677440822,0.0007123838996341959,5.9301406145095827e-05,2.7584788521715847e-05,0.009015611745417118,0.0007200825037069727,30.00021095275879,0.0001283291003369455,,,0.0,0.0,234.0,37.5737674448544,38477.0,10510.51510432481,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.75,fixed_size_closest_dimension,5,30.007983521558344,0.0007506454160619618,4.612207412719726e-05,3.0841208226623304e-06,0.007330960035324097,0.00026363832346613686,30.00055046081543,0.0007075719532757149,,,16.61,6.194123316499277,150.0,0.0,54389.4,7397.977525855023,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.75,proposed_bound_aware,5,30.0474308880046,0.030596623742291638,0.039930269308388236,0.030157658133401898,0.00719692949205637,0.0003620909418165263,30.000246953964233,0.00016301173344205044,,,2.9099999999999997,1.7836673064223607,149.0,0.0,83546.8,34386.52018702538,0,"{""TIME_LIMIT"": 5}",N/A
40,4,balanced,poisson,0.75,threshold_closest_dimension,5,24.75918723549694,5.480243341687795,8.101686835289001e-05,3.2744379052877455e-05,0.006293324567377567,0.00015310408110492152,24.752756214141847,5.4802541307912715,,,5.8149999999999995,2.2539254335492114,107.6,11.421940990917436,81696.8,23167.636223574988,0,"{""OPTIMAL"": 3, ""TIME_LIMIT"": 2}",N/A
40,4,balanced,poisson,0.9,fixed_size_closest_dimension,5,0.6827398469671607,0.2950407050102392,4.1915290057659146e-05,1.3702221868871213e-05,0.00534929595887661,0.00028378924736247296,0.6772995471954346,0.2947989916850341,,,28.02,4.421890968805086,54.0,0.0,6523.0,2939.341170180828,0,"{""OPTIMAL"": 5}",N/A
40,4,balanced,poisson,0.9,proposed_bound_aware,5,3.522027196548879,2.8884413524218573,0.11962249837815761,0.027029333192914708,0.005345558561384678,0.00014517491652210493,3.3970011711120605,2.9126772648310055,,,18.605,3.352273324178683,54.0,0.0,17294.6,10904.698644607102,0,"{""OPTIMAL"": 5}",N/A
40,4,balanced,poisson,0.9,threshold_closest_dimension,5,0.8284032801166177,0.4117361430974364,7.969867438077927e-05,2.998264301493615e-05,0.004949601925909519,0.00010174942064181109,0.8233242034912109,0.41181336264027657,,,26.080000000000002,3.4785651840953045,54.0,0.0,7837.4,3305.1587920122683,0,"{""OPTIMAL"": 5}",N/A
