scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N30_L3_balanced_uniform_hS2,0,0.25,225,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 1, 1, 1, 1, 1, 1]]",24,"[7, 8, 9]",191,300,0.36333333333333334,0,0.0,0.0,True,0.8,0.8,OPTIMAL,7.206479028335859e-08,13.0,0.0014159679412841797,0.007428130134940147,0.004498424008488655,0.0027909278869628906,0.005063879303634167,0.015635967254638672,0.028127976693212986
N30_L3_balanced_uniform_hS2,0,0.25,225,fixed_size_closest_dimension,fixed_size_1,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",30,"[10, 10, 10]",300,300,0.0,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,16.0,0.00013303756713867188,0.0,0.0,0.0,0.007182077504694462,0.026708126068115234,0.033890203572809696
N30_L3_balanced_uniform_hS2,0,0.25,225,threshold_closest_dimension,release_gap_threshold_1,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 1, 1, 1, 1], [1, 2, 1, 1, 1, 1, 1, 1, 1]]",24,"[7, 8, 9]",191,300,0.36333333333333334,0,0.0,0.0,True,0.8,0.8,OPTIMAL,7.206479028335859e-08,13.0,0.0013699531555175781,0.0,0.0,0.0,0.005020833574235439,0.015159130096435547,0.020179963670670986
N30_L3_balanced_uniform_hS2,0,0.5,150,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 2, 2], [1, 2, 1, 1, 1, 1, 2, 1]]",21,"[7, 6, 8]",146,300,0.5133333333333333,81,2.7,0.09999999999999998,True,0.8,0.9,OPTIMAL,0.0,9.0,7.009506225585938e-05,0.00906058494001627,0.004444972611963749,0.004475116729736328,0.004287125542759895,0.013695955276489258,0.027043665759265423
N30_L3_balanced_uniform_hS2,0,0.5,150,fixed_size_closest_dimension,fixed_size_2,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",15,"[5, 5, 5]",75,300,0.75,1782,59.4,2.333333333333333,True,0.8,3.1333333333333333,OPTIMAL,0.0,1.0,4.1961669921875e-05,0.0,0.0,0.0,0.0026902928948402405,0.0013668537139892578,0.004057146608829498
N30_L3_balanced_uniform_hS2,0,0.5,150,threshold_closest_dimension,release_gap_threshold_2,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 2, 1, 3, 1, 1, 1], [3, 1, 1, 1, 2, 1, 1], [1, 2, 1, 1, 1, 1, 2, 1]]",22,"[7, 7, 8]",161,300,0.4633333333333333,41,1.3666666666666667,0.033333333333333326,True,0.8,0.8333333333333334,OPTIMAL,0.0,12.0,6.890296936035156e-05,0.0,0.0,0.0,0.004560328088700771,0.00890493392944336,0.01346526201814413
N30_L3_balanced_uniform_hS2,0,0.75,75,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 3, 4, 1, 1], [4, 1, 3, 2], [1, 2, 3, 1, 2, 1]]",15,"[5, 4, 6]",74,300,0.7533333333333333,424,14.133333333333333,0.8999999999999999,True,0.8,1.7,OPTIMAL,0.0,1.0,4.00543212890625e-05,0.0077735912054777145,0.004470301792025566,0.0031659603118896484,0.002711084671318531,0.0014729499816894531,0.011957625858485699
N30_L3_balanced_uniform_hS2,0,0.75,75,fixed_size_closest_dimension,fixed_size_2,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",15,"[5, 5, 5]",75,300,0.75,1782,59.4,2.333333333333333,True,0.8,3.1333333333333333,OPTIMAL,0.0,1.0,4.792213439941406e-05,0.0,0.0,0.0,0.0028721075505018234,0.0015139579772949219,0.004386065527796745
N30_L3_balanced_uniform_hS2,0,0.75,75,threshold_closest_dimension,release_gap_threshold_4,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[1, 3, 4, 1, 1], [4, 1, 3, 2], [3, 3, 1, 2, 1]]",14,"[5, 4, 5]",65,300,0.7833333333333333,509,16.966666666666665,1.0,True,0.8,1.8,OPTIMAL,0.0,1.0,4.410743713378906e-05,0.0,0.0,0.0,0.0027877306565642357,0.0014050006866455078,0.0041927313432097435
N30_L3_balanced_uniform_hS2,0,0.9,30,proposed_bound_aware,min_Bidx_under_C_budget,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[4, 4, 2], [4, 4, 2], [3, 4, 3]]",9,"[3, 3, 3]",27,300,0.91,1657,55.233333333333334,5.266666666666667,True,0.8,6.066666666666666,OPTIMAL,0.0,1.0,3.600120544433594e-05,0.04885431006550789,0.004430682398378849,0.04428911209106445,0.0019979681819677353,0.0031080245971679688,0.05396030284464359
N30_L3_balanced_uniform_hS2,0,0.9,30,fixed_size_closest_dimension,fixed_size_4,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[4, 4, 2], [4, 4, 2], [4, 4, 2]]",9,"[3, 3, 3]",27,300,0.91,2090,69.66666666666667,5.2,True,0.8,6.0,OPTIMAL,0.0,1.0,3.2901763916015625e-05,0.0,0.0,0.0,0.0019210223108530045,0.0011110305786132812,0.0030320528894662857
N30_L3_balanced_uniform_hS2,0,0.9,30,threshold_closest_dimension,release_gap_threshold_13,30,3,"[10, 10, 10]",balanced,uniform,1,2,4,"[[4, 4, 2], [4, 4, 2], [4, 3, 3]]",9,"[3, 3, 3]",27,300,0.91,1767,58.9,4.766666666666667,True,0.8,5.566666666666666,OPTIMAL,0.0,1.0,3.409385681152344e-05,0.0,0.0,0.0,0.0018940111622214317,0.0011839866638183594,0.003077997826039791
N40_L3_balanced_uniform_hS2,0,0.25,400,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 3, 1, 1, 1, 1, 2, 1, 2, 1], [1, 1, 1, 2, 1, 1, 2, 1, 1, 2], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",32,"[10, 10, 12]",340,533,0.3621013133208255,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,6.0,0.0001518726348876953,0.011843618005514145,0.00752673763781786,0.004083156585693359,0.008131572045385838,0.04256486892700195,0.06254005897790194
N40_L3_balanced_uniform_hS2,0,0.25,400,fixed_size_closest_dimension,fixed_size_1,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",40,"[14, 13, 13]",533,533,0.0,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,688.0,0.004341840744018555,0.0,0.0,0.0,0.011757138185203075,0.22553300857543945,0.23729014676064253
N40_L3_balanced_uniform_hS2,0,0.25,400,threshold_closest_dimension,release_gap_threshold_0,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1], [1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",37,"[13, 12, 12]",456,533,0.14446529080675422,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,25.0,0.003654003143310547,0.0,0.0,0.0,0.010574300773441792,0.0671989917755127,0.07777329254895449
N40_L3_balanced_uniform_hS2,0,0.5,266,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 3, 1, 1, 1, 1, 2, 1, 2, 1], [2, 1, 2, 1, 4, 1, 2], [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",28,"[10, 7, 11]",257,533,0.5178236397748592,133,3.325,0.09999999999999987,True,1.05,1.15,OPTIMAL,0.0,21.0,0.00011801719665527344,0.015815166756510735,0.007395520806312561,0.008189916610717773,0.0072123827412724495,0.024641990661621094,0.04766954015940428
N40_L3_balanced_uniform_hS2,0,0.5,266,fixed_size_closest_dimension,fixed_size_2,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 1], [2, 2, 2, 2, 2, 2, 1]]",21,"[7, 7, 7]",147,533,0.724202626641651,3530,88.25,2.3499999999999996,True,1.05,3.4,OPTIMAL,0.0,1.0,6.890296936035156e-05,0.0,0.0,0.0,0.004473356530070305,0.004213094711303711,0.008686451241374016
N40_L3_balanced_uniform_hS2,0,0.5,266,threshold_closest_dimension,release_gap_threshold_2,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 3, 1, 1, 1, 1, 2, 1, 2, 1], [2, 1, 2, 1, 4, 1, 2], [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]]",28,"[10, 7, 11]",257,533,0.5178236397748592,133,3.325,0.09999999999999987,True,1.05,1.15,OPTIMAL,0.0,21.0,0.0001049041748046875,0.0,0.0,0.0,0.006342520006000996,0.022694826126098633,0.02903734613209963
N40_L3_balanced_uniform_hS2,0,0.75,133,proposed_bound_aware,min_Bidx_under_C_budget,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[1, 4, 2, 1, 2, 4], [2, 1, 2, 1, 4, 1, 2], [1, 3, 1, 1, 1, 2, 4]]",20,"[6, 7, 7]",133,533,0.7504690431519699,831,20.775,0.925,True,1.05,1.975,OPTIMAL,0.0,1.0,9.918212890625e-05,0.024250557646155357,0.007418574765324593,0.01660299301147461,0.004357551224529743,0.011085987091064453,0.039694095961749554
N40_L3_balanced_uniform_hS2,0,0.75,133,fixed_size_closest_dimension,fixed_size_2,40,3,"[14, 13, 13]",balanced,uniform,1,2,4,"[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 1], [2, 2, 2, 2, 2, 2, 1]]",21,"[7, 7, 7]",147,533,0.724202626641651,3530,88.25,2.3499999999999996,True,1.05,3.4,OPTIMAL,0.0,1.0,6.890296936035156e-05,0.0,0.0,0.0,0.004193684086203575,0.004040956497192383,0.008234640583395958
