instance_id,seed,replication,N,L,counts,releases,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,h_F,h_S,method,run_role,threshold,delta,max_platoon_size,Pmax,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,time_limit_s,threads,status,objective,objective_total_delay,best_bound,terminal_mip_gap,solve_time_s,model_construction_time_s,end_to_end_time_s,node_count,time_to_first_feasible_s,sol_count,np_status,np_objective,np_terminal_mip_gap,np_solve_time_s,np_optimal_objective,np_optimal_source,matching_chp_objective,pp_optimal_objective,actual_optimality_gap,bound_check_available,bound_slack,bound_valid,delay_order_check_available,np_pp_chp_delay_order_holds
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,6,6,"[[3, 2], [2, 1, 1, 1], [5], [1, 1, 1, 1, 1]]",12,49,150,0.6733333333333333,0.0042965,20,7.95,159,72.8,1456,600.0,12,OPTIMAL,3.65,73.0,72.99999999999739,0.0,0.011928081512451172,0.005495215766131878,0.017481012578817845,1.0,0.00018596649169921875,3,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.65,3.65,0.2999999999999998,True,72.5,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,8,8,"[[3, 2], [2, 1, 1, 1], [5], [1, 1, 1, 1, 1]]",12,49,150,0.6733333333333333,0.001723,20,7.95,159,77.35,1547,600.0,12,OPTIMAL,3.65,73.0,72.99999999999739,0.0,0.015036821365356445,0.005056972615420818,0.020151599363575457,1.0,0.00018787384033203125,3,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.65,3.65,0.2999999999999998,True,77.05,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,8,8,2,2,"[[2, 1, 2], [2, 1, 2], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.001938,20,20.9,418,64.5,1290,600.0,12,OPTIMAL,3.55,71.0,71.0,0.0,0.03479599952697754,0.0049326252192258835,0.03978691241858053,162.0,0.00016307830810546875,2,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,4.6,3.55,0.19999999999999973,True,64.3,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,8,8,4,4,"[[3, 2], [2, 1, 2], [4, 1], [4, 1]]",9,30,150,0.8,0.004261,20,27.0,540,96.75,1935,600.0,12,OPTIMAL,3.65,73.0,72.99999999999773,0.0,0.006192207336425781,0.005152287892997265,0.011405294028960228,1.0,0.00015020370483398438,2,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,4.6,3.65,0.2999999999999998,True,96.45,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,8,8,6,6,"[[3, 2], [2, 1, 2], [5], [5]]",7,17,150,0.8866666666666667,0.0017025,20,34.6,692,103.2,2064,600.0,12,OPTIMAL,4.6,92.0,92.0,0.0,0.0024471282958984375,0.004389875568449497,0.006894450677051544,1.0,0.0001480579376220703,3,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,4.6,4.6,1.2499999999999996,True,101.95,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,8,8,8,8,"[[3, 2], [2, 1, 2], [5], [5]]",7,17,150,0.8866666666666667,0.0017925,20,34.6,692,109.65,2193,600.0,12,OPTIMAL,4.6,92.0,92.0,0.0,0.002413034439086914,0.004329904913902283,0.006799036340992451,1.0,0.00014400482177734375,3,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,4.6,4.6,1.2499999999999996,True,108.4,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,2,2,"[[1, 1, 1, 1, 1], [1, 1, 2, 1], [1, 1, 1, 1, 1], [2, 2, 1]]",17,107,150,0.2866666666666666,0.002048,20,0.65,13,7.5,150,600.0,12,OPTIMAL,2.4,48.0,48.0,0.0,0.06822395324707031,0.006471181288361549,0.0747577101208787,201.0,0.00020694732666015625,5,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.4,2.4,0.0,True,7.5,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,4,4,"[[1, 1, 1, 1, 1], [1, 1, 3], [1, 1, 1, 1, 1], [2, 3]]",15,81,150,0.45999999999999996,0.001928,20,0.65,13,11.25,225,600.0,12,OPTIMAL,2.4,48.0,48.0,0.0,0.053526878356933594,0.006234433501958847,0.05983431374117422,115.0,0.0002110004425048828,7,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.4,2.4,0.0,True,11.25,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,6,6,"[[1, 1, 1, 1, 1], [1, 1, 3], [1, 1, 1, 1, 1], [2, 3]]",15,81,150,0.45999999999999996,0.004602,20,0.65,13,12.0,240,600.0,12,OPTIMAL,2.4,48.0,48.0,0.0,0.053739070892333984,0.006050324998795986,0.059855786487342834,115.0,0.00020813941955566406,7,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.4,2.4,0.0,True,12.0,True,True,True
N20_lambda0p5_rep001_seed17455957085392093784,17455957085392093784,1,20,4,"[5, 5, 5, 5]","[[2, 5, 16, 24, 27], [3, 27, 31, 33, 33], [7, 12, 38, 47, 50], [1, 2, 6, 7, 7]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,8,8,"[[1, 1, 1, 1, 1], [1, 1, 3], [1, 1, 1, 1, 1], [2, 3]]",15,81,150,0.45999999999999996,0.001873,20,0.65,13,12.75,255,600.0,12,OPTIMAL,2.4,48.0,48.0,0.0,0.04939103126525879,0.0059530483558773994,0.055406555643711566,115.0,0.00019788742065429688,7,OPTIMAL,2.4,0.0,0.1956038475036621,2.4,uniform_600s,2.4,2.4,0.0,True,12.75,True,True,True
