instance_id,N,L,counts,releases,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,formation_time_ms,formation_repetitions,scaled_actual_optimality_gap,actual_optimality_gap,scaled_partition_specific_upper_bound,partition_specific_upper_bound,scaled_rule_level_upper_bound,rule_level_upper_bound,bound_chain_valid
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000836,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,0,2,PP,"[[2, 1], [1, 1]]",4,4,0.0008115,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,0,3,PP,"[[3], [1, 1]]",3,2,0.000811,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,0,5,PP,"[[3], [1, 1]]",3,2,0.000811,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000821,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,1,2,PP,"[[2, 1], [1, 1]]",4,4,0.000816,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,1,3,PP,"[[3], [1, 1]]",3,2,0.000811,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,1,5,PP,"[[3], [1, 1]]",3,2,0.000791,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000826,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.000821,20,0,0,2,2/5,4,4/5,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.000811,20,0,0,2,2/5,6,6/5,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.0007915,20,0,0,2,2/5,8,8/5,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008265,20,0,0,0,0,0,0,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.0008065,20,0,0,2,2/5,12,12/5,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.0008165,20,0,0,2,2/5,18,18/5,True
2,5,2,"[3, 2]","[[0, 0, 0], [0, 2]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000802,20,0,0,2,2/5,24,24/5,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008165,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,0,2,PP,"[[2, 1], [1, 1]]",4,4,0.000826,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,0,3,PP,"[[3], [1, 1]]",3,2,0.0008165,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,0,5,PP,"[[3], [1, 1]]",3,2,0.0008115,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008165,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,1,2,PP,"[[2, 1], [1, 1]]",4,4,0.0008015,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,1,3,PP,"[[3], [1, 1]]",3,2,0.000791,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,1,5,PP,"[[3], [1, 1]]",3,2,0.000806,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000811,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,2,2,PP,"[[2, 1], [1, 1]]",4,4,0.0008215,20,0,0,0,0,4,4/5,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,2,3,PP,"[[3], [1, 1]]",3,2,0.000781,20,0,0,0,0,6,6/5,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,2,5,PP,"[[3], [1, 1]]",3,2,0.000801,20,0,0,0,0,8,8/5,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000811,20,0,0,0,0,0,0,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.000796,20,0,0,6,6/5,12,12/5,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.0008415,20,0,0,6,6/5,18,18/5,True
3,5,2,"[3, 2]","[[0, 0, 0], [0, 3]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000841,20,0,0,6,6/5,24,24/5,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008515,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,0,2,PP,"[[2, 1], [2]]",3,2,0.000871,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,0,3,PP,"[[3], [2]]",2,1,0.000851,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,0,5,PP,"[[3], [2]]",2,1,0.000842,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000846,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,1,2,PP,"[[2, 1], [2]]",3,2,0.0008665,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,1,3,PP,"[[3], [2]]",2,1,0.0008415,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,1,5,PP,"[[3], [2]]",2,1,0.0008215,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000851,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.000836,20,0,0,0,0,4,4/5,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.0008365,20,0,0,0,0,6,6/5,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.000796,20,0,0,0,0,8,8/5,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000811,20,0,0,0,0,0,0,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.000811,20,0,0,0,0,12,12/5,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.000801,20,0,0,0,0,18,18/5,True
4,5,2,"[3, 2]","[[0, 0, 0], [1, 1]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000811,20,0,0,0,0,24,24/5,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000816,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,0,2,PP,"[[2, 1], [1, 1]]",4,4,0.000811,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,0,3,PP,"[[3], [1, 1]]",3,2,0.0008065,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,0,5,PP,"[[3], [1, 1]]",3,2,0.000806,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000821,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,1,2,PP,"[[2, 1], [2]]",3,2,0.000816,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,1,3,PP,"[[3], [2]]",2,1,0.000846,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,1,5,PP,"[[3], [2]]",2,1,0.000856,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000871,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.000856,20,0,0,0,0,4,4/5,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.000866,20,0,0,0,0,6,6/5,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.0008365,20,0,0,0,0,8,8/5,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000846,20,0,0,0,0,0,0,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.000841,20,0,0,0,0,12,12/5,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.000831,20,0,0,0,0,18,18/5,True
5,5,2,"[3, 2]","[[0, 0, 0], [1, 2]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000841,20,0,0,0,0,24,24/5,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000851,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,0,2,PP,"[[2, 1], [1, 1]]",4,4,0.000861,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,0,3,PP,"[[3], [1, 1]]",3,2,0.0008115,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,0,5,PP,"[[3], [1, 1]]",3,2,0.000802,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008065,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,1,2,PP,"[[2, 1], [1, 1]]",4,4,0.000811,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,1,3,PP,"[[3], [1, 1]]",3,2,0.0008015,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,1,5,PP,"[[3], [1, 1]]",3,2,0.0007865,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000811,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.0008115,20,0,0,2,2/5,4,4/5,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.000786,20,0,0,2,2/5,6,6/5,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.000796,20,0,0,2,2/5,8,8/5,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000796,20,0,0,0,0,0,0,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.000806,20,0,0,2,2/5,12,12/5,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.000801,20,0,0,2,2/5,18,18/5,True
6,5,2,"[3, 2]","[[0, 0, 0], [1, 3]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000811,20,0,0,2,2/5,24,24/5,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000811,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,0,2,PP,"[[2, 1], [2]]",3,2,0.0008215,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,0,3,PP,"[[3], [2]]",2,1,0.000821,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,0,5,PP,"[[3], [2]]",2,1,0.0008415,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008465,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,1,2,PP,"[[2, 1], [2]]",3,2,0.0008165,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,1,3,PP,"[[3], [2]]",2,1,0.000821,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,1,5,PP,"[[3], [2]]",2,1,0.0008115,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008465,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.0008315,20,0,0,0,0,4,4/5,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.000802,20,0,0,0,0,6,6/5,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.000801,20,0,0,0,0,8,8/5,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0007965,20,0,0,0,0,0,0,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.0007965,20,0,0,0,0,12,12/5,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.000807,20,0,0,0,0,18,18/5,True
7,5,2,"[3, 2]","[[0, 0, 0], [2, 2]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000796,20,0,0,0,0,24,24/5,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008165,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,0,2,PP,"[[2, 1], [1, 1]]",4,4,0.000812,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,0,3,PP,"[[3], [1, 1]]",3,2,0.000781,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,0,5,PP,"[[3], [1, 1]]",3,2,0.000791,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000811,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,1,2,PP,"[[2, 1], [2]]",3,2,0.000811,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,1,3,PP,"[[3], [2]]",2,1,0.0008165,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,1,5,PP,"[[3], [2]]",2,1,0.000801,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000821,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.000811,20,0,0,0,0,4,4/5,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.0008165,20,0,0,0,0,6,6/5,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.000821,20,0,0,0,0,8,8/5,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000862,20,0,0,0,0,0,0,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.0008465,20,0,0,0,0,12,12/5,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.000801,20,0,0,0,0,18,18/5,True
8,5,2,"[3, 2]","[[0, 0, 0], [2, 3]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.0008165,20,0,0,0,0,24,24/5,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000831,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,0,2,PP,"[[2, 1], [2]]",3,2,0.0008465,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,0,3,PP,"[[3], [2]]",2,1,0.000811,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,0,5,PP,"[[3], [2]]",2,1,0.000811,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000841,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,1,2,PP,"[[2, 1], [2]]",3,2,0.000821,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,1,3,PP,"[[3], [2]]",2,1,0.0008115,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,1,5,PP,"[[3], [2]]",2,1,0.0007915,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008315,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.000791,20,0,0,0,0,4,4/5,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.000791,20,0,0,0,0,6,6/5,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.000786,20,0,0,0,0,8,8/5,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,3,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0008065,20,0,0,0,0,0,0,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,3,2,PP,"[[2, 1], [2]]",3,2,0.0008165,20,0,0,0,0,12,12/5,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,3,3,PP,"[[3], [2]]",2,1,0.0008065,20,0,0,0,0,18,18/5,True
9,5,2,"[3, 2]","[[0, 0, 0], [3, 3]]",1,2,3,5,PP,"[[3], [2]]",2,1,0.000811,20,0,0,0,0,24,24/5,True
10,5,2,"[3, 2]","[[0, 0, 1], [0, 0]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000841,20,0,0,0,0,0,0,True
10,5,2,"[3, 2]","[[0, 0, 1], [0, 0]]",1,2,0,2,PP,"[[2, 1], [2]]",3,2,0.000811,20,0,0,0,0,0,0,True
10,5,2,"[3, 2]","[[0, 0, 1], [0, 0]]",1,2,0,3,PP,"[[2, 1], [2]]",3,2,0.000811,20,0,0,0,0,0,0,True
10,5,2,"[3, 2]","[[0, 0, 1], [0, 0]]",1,2,0,5,PP,"[[2, 1], [2]]",3,2,0.000846,20,0,0,0,0,0,0,True
10,5,2,"[3, 2]","[[0, 0, 1], [0, 0]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.000816,20,0,0,0,0,0,0,True
