N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,actual_gap_case_count,statuses,all_actual_gaps_within_bound
40,4,balanced,poisson,0.25,fixed_size_closest_dimension,30,30.00755027035872,0.00017028909901479643,3.951045994957288e-05,5.110720821364686e-06,0.007193135904769102,0.00012452124892140838,30.00026060740153,0.0001100231048781737,,,20.764166666666664,3.2250834670418955,150.0,0.0,59969.3,4544.850936808419,0,"{""TIME_LIMIT"": 30}",N/A
40,4,balanced,poisson,0.25,proposed_bound_aware,30,29.802038752815374,0.4379378163003606,0.017581444854537647,0.0007300791850029638,0.007522691786289215,0.000355544204162296,29.776879143714904,0.43778974179375013,,,0.0,0.0,183.4,16.473920382884252,63991.96666666667,8500.526805619927,0,"{""OPTIMAL"": 1, ""TIME_LIMIT"": 29}",N/A
40,4,balanced,poisson,0.25,threshold_closest_dimension,30,30.010946834180505,0.0006032446086381997,9.206623459855716e-05,1.2761272257526682e-05,0.010564991148809592,0.0005750295381499863,30.000231901804607,6.793791705071851e-05,,,0.0,0.0,337.43333333333334,28.98215401327241,27403.2,6538.383859112095,0,"{""TIME_LIMIT"": 30}",N/A
40,4,balanced,poisson,0.5,fixed_size_closest_dimension,30,30.00749218746399,0.00016938962736817693,3.930339589715004e-05,5.436912336181111e-06,0.007196339809646209,0.00016026320827589648,30.000199858347575,3.3006784083771464e-05,,,20.764166666666664,3.2250834670418955,150.0,0.0,59929.5,4529.090215674515,0,"{""TIME_LIMIT"": 30}",N/A
40,4,balanced,poisson,0.5,proposed_bound_aware,30,29.796993815495323,0.44677319817834604,0.017118322321524222,0.0004881713700618872,0.007476738995561997,0.00034210163542828435,29.77234312693278,0.44665514750089,,,0.0,0.0,183.4,16.473920382884252,63901.46666666667,8510.234266746622,0,"{""OPTIMAL"": 1, ""TIME_LIMIT"": 29}",N/A
40,4,balanced,poisson,0.5,threshold_closest_dimension,30,29.76511934834222,0.4767557847174637,8.899075910449029e-05,1.2260852892139883e-05,0.007940168616672356,0.0003914750331036055,29.757032251358034,0.47661463863064646,,,0.0,0.0,190.96666666666667,17.5334132754613,62136.36666666667,7082.481679383354,0,"{""OPTIMAL"": 1, ""TIME_LIMIT"": 29}",N/A
40,4,balanced,poisson,0.75,fixed_size_closest_dimension,30,30.007524235825986,0.0001791916975160968,4.220011954506238e-05,4.6106421121238775e-06,0.00716603302086393,0.00010880623673283103,30.000259296099344,0.00012709623912618185,,,20.764166666666664,3.2250834670418955,150.0,0.0,60394.73333333333,4329.892310339935,0,"{""TIME_LIMIT"": 30}",N/A
40,4,balanced,poisson,0.75,proposed_bound_aware,30,29.80357250527789,0.46781649974692013,0.03433609964946906,0.009404801547890626,0.00690997214987874,0.00016501534204648924,29.762269751230875,0.46641537509840914,,,1.9408333333333334,0.802451736627729,144.23333333333332,3.3577861800077953,87906.53333333334,9729.944138530833,0,"{""OPTIMAL"": 1, ""TIME_LIMIT"": 29}",N/A
40,4,balanced,poisson,0.75,threshold_closest_dimension,30,26.053130557357022,2.3786608756538676,9.658513590693474e-05,1.1344970632131536e-05,0.006510118488222361,0.00018524205507256,26.046466445922853,2.3785264449889363,,,4.299166666666666,1.344321200742696,118.56666666666666,8.027936894948292,94727.0,13802.503436819472,0,"{""OPTIMAL"": 11, ""TIME_LIMIT"": 19}",N/A
40,4,balanced,poisson,0.9,fixed_size_closest_dimension,30,0.7135349422693252,0.10959369121325102,3.9038000007470446e-05,5.052973342201557e-06,0.0052706286932031315,9.827629633121048e-05,0.7081751664479573,0.10956776457401762,,,28.715833333333332,3.5623506144064034,54.0,0.0,6443.533333333334,1026.6585689820672,0,"{""OPTIMAL"": 30}",N/A
40,4,balanced,poisson,0.9,proposed_bound_aware,30,2.698999259310464,0.8793077855152218,0.11787181878462434,0.008848576804188504,0.005343484288702408,8.04296737757625e-05,2.5757248242696127,0.8804591803574175,,,19.881666666666668,2.7480370494471322,54.0,0.0,16885.433333333334,4186.444341066372,0,"{""OPTIMAL"": 30}",N/A
40,4,balanced,poisson,0.9,threshold_closest_dimension,30,1.075741861357043,0.46243411826772146,8.973100533088048e-05,1.1557024591730361e-05,0.004952872513482968,0.00010563961562296089,1.070649806658427,0.4623955925818136,,,26.728333333333335,3.8182185970108344,54.0,0.0,8513.566666666668,2075.837370598672,0,"{""OPTIMAL"": 30}",N/A
